1.119008495, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Yorkshire v Lancashire, Favorite: ,Yorkshire, 655   size:5.19,Price: ,1.69,Lancashire, 424679   size:2.55,Price: ,2.28,xx
1.119040668, Sport: ,Basketball, Time: ,Fri Jun 05 02:00:00 CEST 2015, Time: ,Fri Jun 05 02:00:00 CEST 2015, Event: ,Obras v Quilmes, Favorite: ,Obras, 6269780   size:2.55,Price: ,1.25,Quilmes, 7753472   size:2.55,Price: ,4.6,okok
1.119076442, Sport: ,Snooker, Time: ,Fri Jun 05 11:00:00 CEST 2015, Time: ,Fri Jun 05 11:00:00 CEST 2015, Event: ,Dunn v Higginson, Favorite: ,Andrew Higginson, 2278819   size:3.06,Price: ,1.02,okok
1.119076441, Sport: ,Snooker, Time: ,Fri Jun 05 11:00:00 CEST 2015, Time: ,Fri Jun 05 11:00:00 CEST 2015, Event: ,G Wilson v J Walker, Favorite: ,Joel Walker, 5760963   size:3.06,Price: ,1.02,okok
1.119008778, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Northamptonshire v Worcestershire, Favorite: ,Northamptonshire, 475559   size:5.61,Price: ,1.86,Worcestershire, 31372   size:2.33,Price: ,2.1,xx
1.119047979, Sport: ,Basketball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Czech Republic (W) v Belarus (W), Favorite: ,Belarus (W), 6427238   size:5.0,Price: ,1.03,okok
1.119076363, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,Ebden v Kravchuk, Favorite: ,Matthew Ebden, 4423910   size:44.49,Price: ,1.66,Konstantin Kravchuk, 5011822   size:37.08,Price: ,2.18,xx
1.119008774, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Glamorgan v Middlesex, Favorite: ,Middlesex, 31378   size:2.61,Price: ,1.81,Glamorgan, 169   size:2.61,Price: ,2.02,xx
1.119048987, Sport: ,Baseball, Time: ,Fri Jun 05 02:05:00 CEST 2015, Time: ,Fri Jun 05 02:05:00 CEST 2015, Event: ,CWS @ TEX, Favorite: ,Texas (Y Gallardo), 9378796   size:276.44,Price: ,1.82,Chicago White Sox (C Rodon), 9469946   size:624.03,Price: ,2.12,okok
1.119049007, Sport: ,Baseball, Time: ,Fri Jun 05 03:40:00 CEST 2015, Time: ,Fri Jun 05 03:40:00 CEST 2015, Event: ,NYM @ ARI, Favorite: ,NY Mets (M Harvey), 6551353   size:99.0,Price: ,1.76,Arizona (J Hellickson), 9385116   size:162.35,Price: ,2.26,x
