1.122103825, Sport: ,Soccer, Time: ,Thu Dec 03 02:00:00 CET 2015, Time: ,Thu Dec 03 02:00:00 CET 2015, Event: ,Atlante v FC Juarez, Favorite: ,Atlante, 230270   size:88.66,Price: ,2.02,FC Juarez, 10002706   size:3.2,Price: ,2.44,The Draw, 58805   size:2.44,Price: ,3.2,ok
1.121993303, Sport: ,Soccer, Time: ,Wed Dec 02 18:00:00 CET 2015, Time: ,Wed Dec 02 18:00:00 CET 2015, Event: ,Verona v Pavia, Favorite: ,Verona, 676465   size:36.82,Price: ,1.62,Pavia, 522040   size:104.13,Price: ,6.4,The Draw, 58805   size:71.51,Price: ,4.3,ok
1.122089675, Sport: ,Soccer, Time: ,Wed Dec 02 21:00:00 CET 2015, Time: ,Wed Dec 02 21:00:00 CET 2015, Event: ,CD Armenio (Res) v Barracas Central (Res), Favorite: ,CD Armenio (Res), 10536634   size:72.54,Price: ,2.34,Barracas Central (Res), 10050161   size:72.54,Price: ,2.34,The Draw, 58805   size:21.28,Price: ,3.15,x
1.122091619, Sport: ,Soccer, Time: ,Wed Dec 02 20:30:00 CET 2015, Time: ,Wed Dec 02 20:30:00 CET 2015, Event: ,Leatherhead v Carshalton Athletic FC, Favorite: ,Leatherhead, 2145939   size:89.5,Price: ,1.9,Carshalton Athletic FC, 7642538   size:63.12,Price: ,2.7,The Draw, 58805   size:48.99,Price: ,3.45,ok
1.122076913, Sport: ,Soccer, Time: ,Thu Dec 03 01:00:00 CET 2015, Time: ,Thu Dec 03 01:00:00 CET 2015, Event: ,Huracan v Santa Fe, Favorite: ,Huracan, 194507   size:57.9,Price: ,2.06,Santa Fe, 4908158   size:119.14,Price: ,4.8,The Draw, 58805   size:144.9,Price: ,3.15,x
1.121995284, Sport: ,Soccer, Time: ,Wed Dec 02 16:00:00 CET 2015, Time: ,Wed Dec 02 16:00:00 CET 2015, Event: ,Guimaraes B v Portimonense, Favorite: ,Portimonense, 505982   size:5.0,Price: ,2.6,Guimaraes B, 6563316   size:5.0,Price: ,3.1,The Draw, 58805   size:171.92,Price: ,3.2,ok
1.121990392, Sport: ,Ice Hockey, Time: ,Wed Dec 02 17:30:00 CET 2015, Time: ,Wed Dec 02 17:30:00 CET 2015, Event: ,SKA v Spartak, Favorite: ,SKA, 2296808   size:65.2,Price: ,1.57,Spartak, 2773599   size:56.0,Price: ,5.0,Tie, 60104   size:57.0,Price: ,5.1,ok
1.122084417, Sport: ,Basketball, Time: ,Thu Dec 03 02:00:00 CET 2015, Time: ,Thu Dec 03 02:00:00 CET 2015, Event: ,Denver @ Chicago, Favorite: ,Denver, 13124   size:3.92,Price: ,1.03,Chicago, 13117   size:34.42,Price: ,1.06,x
1.122091068, Sport: ,Soccer, Time: ,Wed Dec 02 20:15:00 CET 2015, Time: ,Wed Dec 02 20:15:00 CET 2015, Event: ,Jumilla v Merida AD, Favorite: ,Merida AD, 9534731   size:75.37,Price: ,2.26,Jumilla, 4943249   size:72.54,Price: ,2.34,The Draw, 58805   size:53.7,Price: ,3.15,ok
1.121996708, Sport: ,Basketball, Time: ,Thu Dec 03 06:15:00 CET 2015, Time: ,Thu Dec 03 06:15:00 CET 2015, Event: ,Louisville @ Michigan State, Favorite: ,Louisville, 332190   size:3.0,Price: ,1.04,Michigan State, 29834   size:3.0,Price: ,1.04,x
1.122102943, Sport: ,Volleyball, Time: ,Wed Dec 02 20:30:00 CET 2015, Time: ,Wed Dec 02 20:30:00 CET 2015, Event: ,Volley Bergamo v Rebecchi Nordmeccanica , Favorite: ,Piacenza, 10417667   size:1611.5,Price: ,1.04,Volley Bergamo, 3416141   size:78.05,Price: ,1.08,ok
1.122042718, Sport: ,Soccer, Time: ,Wed Dec 02 19:00:00 CET 2015, Time: ,Wed Dec 02 19:00:00 CET 2015, Event: ,TSV Havelse v St Pauli II, Favorite: ,TSV Havelse, 5340376   size:10.13,Price: ,1.81,St Pauli II, 5801013   size:2.54,Price: ,4.7,The Draw, 58805   size:5.37,Price: ,3.9,x
