1.122092615, Sport: ,Ice Hockey, Time: ,Fri Dec 04 17:30:00 CET 2015, Time: ,Fri Dec 04 17:30:00 CET 2015, Event: ,KeuPa v RoKi, Favorite: ,KeuPa, 7138769   size:6.46,Price: ,1.66,Roki, 4196540   size:52.2,Price: ,3.65,Tie, 60104   size:37.38,Price: ,4.8,ok
1.122008282, Sport: ,Soccer, Time: ,Fri Dec 04 20:00:00 CET 2015, Time: ,Fri Dec 04 20:00:00 CET 2015, Event: ,Sparta Rotterdam v Volendam, Favorite: ,Sparta Rotterdam, 111703   size:15.07,Price: ,1.66,Volendam, 419133   size:10.25,Price: ,5.6,The Draw, 58805   size:48.81,Price: ,4.4,ok
1.122092614, Sport: ,Ice Hockey, Time: ,Fri Dec 04 17:30:00 CET 2015, Time: ,Fri Dec 04 17:30:00 CET 2015, Event: ,Hermes v JYP Akatemia, Favorite: ,Hermes, 272755   size:31.76,Price: ,1.87,JYP Akatemia, 5847122   size:5.94,Price: ,3.05,Tie, 60104   size:14.29,Price: ,4.5,ok
1.122010480, Sport: ,Soccer, Time: ,Fri Dec 04 20:45:00 CET 2015, Time: ,Fri Dec 04 20:45:00 CET 2015, Event: ,Lazio v Juventus, Favorite: ,Juventus, 2423   size:830.65,Price: ,2.24,Lazio, 56966   size:105.25,Price: ,3.8,The Draw, 58805   size:5918.58,Price: ,3.35,ok
1.122092613, Sport: ,Ice Hockey, Time: ,Fri Dec 04 17:30:00 CET 2015, Time: ,Fri Dec 04 17:30:00 CET 2015, Event: ,TuTo v Hokki, Favorite: ,TuTo, 4196542   size:5.06,Price: ,2.14,Hokki, 275251   size:76.07,Price: ,2.62,Tie, 60104   size:116.65,Price: ,4.0,ok
1.122092612, Sport: ,Ice Hockey, Time: ,Fri Dec 04 17:30:00 CET 2015, Time: ,Fri Dec 04 17:30:00 CET 2015, Event: ,Jukurit v Heinolan Peliitat, Favorite: ,Jukurit, 272756   size:138.32,Price: ,1.38,Heinolan Peliitat, 6022874   size:28.23,Price: ,5.9,Tie, 60104   size:26.53,Price: ,6.4,ok
1.122096779, Sport: ,Basketball, Time: ,Fri Dec 04 12:35:00 CET 2015, Time: ,Fri Dec 04 12:35:00 CET 2015, Event: ,Shanxi v Shanghai, Favorite: ,Shanxi, 8926913   size:4.14,Price: ,1.5,Shanghai, 8926900   size:41.0,Price: ,2.82,ok
1.122096782, Sport: ,Basketball, Time: ,Fri Dec 04 12:35:00 CET 2015, Time: ,Fri Dec 04 12:35:00 CET 2015, Event: ,Jilin v Jiangsu Dragons, Favorite: ,Jilin, 8926909   size:5.94,Price: ,1.79,Jiangsu Dragons, 8926904   size:14.11,Price: ,2.1,x
1.122096785, Sport: ,Basketball, Time: ,Fri Dec 04 20:30:00 CET 2015, Time: ,Fri Dec 04 20:30:00 CET 2015, Event: ,Strasbourg v Bayern Munchen, Favorite: ,Bayern Munchen, 5859175   size:2.67,Price: ,1.87,Strasbourg, 1193143   size:11.22,Price: ,2.12,ok
1.122113843, Sport: ,Soccer, Time: ,Fri Dec 04 20:30:00 CET 2015, Time: ,Fri Dec 04 20:30:00 CET 2015, Event: ,Lucon v Strasbourg, Favorite: ,Strasbourg, 51404   size:6.63,Price: ,2.42,Lucon, 5114532   size:125.23,Price: ,3.2,The Draw, 58805   size:130.26,Price: ,3.05,x
