1.122323175, Sport: ,Handball, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,Eisenach v Bergischer, Favorite: ,Eisenach, 5833106   size:2.63,Price: ,1.65,Bergischer, 4500054   size:10.33,Price: ,2.94,Draw, 330157   size:9.14,Price: ,8.4,ok
1.122371728, Sport: ,Tennis, Time: ,Wed Dec 23 03:30:00 CET 2015, Time: ,Wed Dec 23 03:30:00 CET 2015, Event: ,Emma Laine v Haruka Kaji, Favorite: ,Emma Laine, 2250866   size:3.42,Price: ,1.46,Haruka Kaji, 8887201   size:2.1,Price: ,2.38,ok
1.122371731, Sport: ,Tennis, Time: ,Wed Dec 23 03:00:00 CET 2015, Time: ,Wed Dec 23 03:00:00 CET 2015, Event: ,Yuqi Sheng v Yukina Saigo, Favorite: ,Yukina Saigo, 9568889   size:37.42,Price: ,1.38,Yuqi Sheng, 9635161   size:25.92,Price: ,3.6,x
1.122351220, Sport: ,Soccer, Time: ,Wed Dec 23 12:45:00 CET 2015, Time: ,Wed Dec 23 12:45:00 CET 2015, Event: ,Kastamonuspor v Galatasaray, Favorite: ,Galatasaray, 2436   size:5.04,Price: ,1.16,Kastamonuspor, 4202579   size:2.31,Price: ,8.8,The Draw, 58805   size:2.0,Price: ,8.0,ok
1.122364809, Sport: ,Basketball, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,Dabrowa Gornicza v Polpharma Starogard, Favorite: ,Dabrowa Gornicza, 8889616   size:2.63,Price: ,1.14,Polpharma Starogard, 2125690   size:21.83,Price: ,2.22,ok
1.122316253, Sport: ,Basketball, Time: ,Tue Dec 22 20:45:00 CET 2015, Time: ,Tue Dec 22 20:45:00 CET 2015, Event: ,Fuenlabrada v Estudiantes, Favorite: ,Fuenlabrada, 1273383   size:657.0,Price: ,1.38,Estudiantes, 1038482   size:195.0,Price: ,2.28,ok
1.122373077, Sport: ,Soccer, Time: ,Wed Dec 23 11:30:00 CET 2015, Time: ,Wed Dec 23 11:30:00 CET 2015, Event: ,Guardian Angel SC v Calangute SC, Favorite: ,Guardian Angel SC, 10139588   size:13.76,Price: ,1.04,Calangute SC, 8802811   size:13.76,Price: ,1.04,The Draw, 58805   size:4.05,Price: ,3.1,x
1.122363459, Sport: ,Soccer, Time: ,Wed Dec 23 14:00:00 CET 2015, Time: ,Wed Dec 23 14:00:00 CET 2015, Event: ,Nepal v Sri Lanka, Favorite: ,Nepal, 4357666   size:3.92,Price: ,1.98,Sri Lanka, 920034   size:13.97,Price: ,3.1,The Draw, 58805   size:3.65,Price: ,3.25,x
1.122360587, Sport: ,Basketball, Time: ,Wed Dec 23 17:30:00 CET 2015, Time: ,Wed Dec 23 17:30:00 CET 2015, Event: ,Lietkabelis v Nevezis, Favorite: ,Lietkabelis, 6214834   size:10.24,Price: ,1.04,Nevezis, 5154509   size:10.24,Price: ,1.04,ok
1.122360620, Sport: ,Basketball, Time: ,Wed Dec 23 15:15:00 CET 2015, Time: ,Wed Dec 23 15:15:00 CET 2015, Event: ,Kolossus Rhodes v AEK Athens, Favorite: ,AEK Athens, 266282   size:10.24,Price: ,1.04,Kolossus Rhodes, 4278049   size:13.64,Price: ,2.66,ok
