1.122214320, Sport: ,Soccer, Time: ,Thu Dec 17 21:00:00 CET 2015, Time: ,Thu Dec 17 21:00:00 CET 2015, Event: ,Granada v Leganes, Favorite: ,Granada, 2255452   size:30.0,Price: ,2.16,Leganes, 309109   size:9.16,Price: ,3.8,The Draw, 58805   size:139.26,Price: ,3.45,ok
1.122093094, Sport: ,Darts, Time: ,Thu Dec 17 21:00:00 CET 2015, Time: ,Thu Dec 17 21:00:00 CET 2015, Event: ,Jamie Lewis v Daryl Gurney, Favorite: ,Jamie Lewis, 6432513   size:2.75,Price: ,1.92,Daryl Gurney, 3535217   size:5.0,Price: ,1.99,x
1.122301411, Sport: ,Tennis, Time: ,Thu Dec 17 05:30:00 CET 2015, Time: ,Thu Dec 17 05:30:00 CET 2015, Event: ,Patty Schnyder v Sabina Sharipova, Favorite: ,Patty Schnyder, 4843506   size:7.02,Price: ,1.45,Sabina Sharipova, 4196657   size:10.97,Price: ,2.88,ok
1.122301412, Sport: ,Tennis, Time: ,Thu Dec 17 04:00:00 CET 2015, Time: ,Thu Dec 17 04:00:00 CET 2015, Event: ,Victoria Kan v Irina Khromacheva, Favorite: ,Irina Khromacheva, 6092292   size:33.46,Price: ,1.42,Victoria Kan, 7753932   size:18.41,Price: ,2.8,ok
1.122301410, Sport: ,Tennis, Time: ,Thu Dec 17 04:00:00 CET 2015, Time: ,Thu Dec 17 04:00:00 CET 2015, Event: ,Myrtille Georges v Peangtarn Plipuech, Favorite: ,Myrtille Georges, 7283251   size:3.09,Price: ,1.27,Peangtarn Plipuech, 8244519   size:7.23,Price: ,4.0,ok
1.122308967, Sport: ,Tennis, Time: ,Thu Dec 17 13:00:00 CET 2015, Time: ,Thu Dec 17 13:00:00 CET 2015, Event: ,Joris De Loore v Pietro Licciardi, Favorite: ,Joris De Loore, 8622401   size:6.87,Price: ,1.08,Pietro Licciardi, 8619041   size:6.87,Price: ,1.08,ok
1.122308964, Sport: ,Tennis, Time: ,Thu Dec 17 13:00:00 CET 2015, Time: ,Thu Dec 17 13:00:00 CET 2015, Event: ,Scott Clayton v Jonathan Mridha, Favorite: ,Scott Clayton, 8596404   size:6.87,Price: ,1.08,Jonathan Mridha, 7412888   size:6.87,Price: ,1.08,ok
1.122308965, Sport: ,Tennis, Time: ,Thu Dec 17 13:00:00 CET 2015, Time: ,Thu Dec 17 13:00:00 CET 2015, Event: ,Kaichi Uchida v Luke Bambridge, Favorite: ,Kaichi Uchida, 8957119   size:6.87,Price: ,1.08,Luke Bambridge, 7364198   size:6.87,Price: ,1.08,x
1.122285764, Sport: ,Basketball, Time: ,Thu Dec 17 02:00:00 CET 2015, Time: ,Thu Dec 17 02:00:00 CET 2015, Event: ,Instituto Atletico Cent v Estudiantes (C), Favorite: ,Instituto Atletico Cent, 10346458   size:235.29,Price: ,1.32,Estudiantes (C), 7753473   size:2.55,Price: ,3.6,ok
1.122308969, Sport: ,Tennis, Time: ,Thu Dec 17 13:00:00 CET 2015, Time: ,Thu Dec 17 13:00:00 CET 2015, Event: ,Mats Moraing v Jonny O'Mara, Favorite: ,Mats Moraing, 8596348   size:6.87,Price: ,1.08,Jonny O'Mara, 8596374   size:6.87,Price: ,1.08,ok
