1.122204268, Sport: ,American Football, Time: ,Wed Dec 30 01:30:00 CET 2015, Time: ,Wed Dec 30 01:30:00 CET 2015, Event: ,Nevada v Colorado State, Favorite: ,Colorado State, 567121   size:2.55,Price: ,1.61,Nevada, 1339616   size:5.18,Price: ,2.36,x
1.122389218, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Timra v Hasten, Favorite: ,Timra, 237393   size:13.66,Price: ,1.04,Hasten, 5427573   size:13.66,Price: ,1.04,Tie, 60104   size:5.91,Price: ,1.28,x
1.122361025, Sport: ,Basketball, Time: ,Wed Dec 30 01:00:00 CET 2015, Time: ,Wed Dec 30 01:00:00 CET 2015, Event: ,George Washington @ UCF, Favorite: ,George Washington, 751441   size:10.0,Price: ,1.04,UCF, 4399083   size:10.0,Price: ,1.04,ok
1.122309643, Sport: ,Ice Hockey, Time: ,Wed Dec 30 01:05:00 CET 2015, Time: ,Wed Dec 30 01:05:00 CET 2015, Event: ,Carolina @ New Jersey, Favorite: ,New Jersey, 2112200   size:2.97,Price: ,2.14,Carolina, 2108027   size:2.32,Price: ,2.74,Tie, 60104   size:7.74,Price: ,3.45,ok
1.122400012, Sport: ,Basketball, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,BK Stevnsgade v SISU, Favorite: ,BK Stevnsgade, 10379235   size:2.55,Price: ,1.77,Sisu, 6719078   size:15.65,Price: ,2.08,ok
1.122389254, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,Tappara v HIFK, Favorite: ,Tappara, 66427   size:100.0,Price: ,2.18,HIFK, 66428   size:5.24,Price: ,2.94,Tie, 60104   size:59.99,Price: ,4.3,x
1.122389215, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Bjorkloven v AIK, Favorite: ,Bjorkloven, 247108   size:13.66,Price: ,1.04,AIK, 2075196   size:13.66,Price: ,1.04,Tie, 60104   size:5.91,Price: ,1.28,x
1.122400016, Sport: ,Basketball, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Naestved v Svendborg, Favorite: ,Naestved, 6719080   size:2.55,Price: ,1.37,Svendborg, 6719075   size:58.97,Price: ,3.3,ok
1.122361021, Sport: ,Basketball, Time: ,Wed Dec 30 01:00:00 CET 2015, Time: ,Wed Dec 30 01:00:00 CET 2015, Event: ,Princeton @ Miami (FL), Favorite: ,Princeton, 677356   size:10.0,Price: ,1.04,Miami (FL), 716668   size:10.0,Price: ,1.04,x
1.122369388, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Frederikshavn v Odense, Favorite: ,Odense, 70624   size:186.5,Price: ,1.15,Frederikshavn, 70626   size:589.73,Price: ,1.23,Tie, 60104   size:30.13,Price: ,5.5,ok
1.122397149, Sport: ,Soccer, Time: ,Tue Dec 29 05:05:00 CET 2015, Time: ,Tue Dec 29 05:05:00 CET 2015, Event: ,Urawa v Kashiwa, Favorite: ,Urawa, 441088   size:30.81,Price: ,1.74,Kashiwa, 441080   size:4.55,Price: ,5.3,The Draw, 58805   size:90.51,Price: ,4.1,x
1.122370760, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Wingate and Finchley v Enfield Town, Favorite: ,Wingate and Finchley, 8901995   size:4.12,Price: ,2.02,Enfield Town, 7133935   size:4.17,Price: ,3.15,The Draw, 58805   size:2.18,Price: ,3.75,x
1.122370762, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Staines Town v Farnborough, Favorite: ,Staines Town, 2608906   size:6.22,Price: ,2.16,Farnborough, 256188   size:3.77,Price: ,2.9,The Draw, 58805   size:2.43,Price: ,3.75,ok
1.122369461, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Leeds v Derby, Favorite: ,Derby, 48325   size:131.14,Price: ,2.06,Leeds, 48317   size:260.36,Price: ,4.3,The Draw, 58805   size:12.93,Price: ,3.45,x
1.122400010, Sport: ,Basketball, Time: ,Tue Dec 29 18:00:00 CET 2015, Time: ,Tue Dec 29 18:00:00 CET 2015, Event: ,USK Praha v Prostejov, Favorite: ,Prostejov, 5866240   size:444.04,Price: ,1.06,Usk Praha, 6851155   size:5.91,Price: ,2.6,ok
1.122389251, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,Pelicans v Sport, Favorite: ,Pelicans, 66425   size:87.0,Price: ,1.95,Sport, 275249   size:123.36,Price: ,3.45,Tie, 60104   size:57.99,Price: ,4.6,x
1.122370523, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Benfica v Nacional, Favorite: ,Benfica, 48783   size:25.93,Price: ,1.34,Nacional, 203723   size:46.29,Price: ,11.0,The Draw, 58805   size:5.83,Price: ,5.6,ok
1.122373877, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,Sochi v Sibir, Favorite: ,Sochi, 8796844   size:59.99,Price: ,2.26,Sibir, 2285014   size:14.47,Price: ,2.9,Tie, 60104   size:63.99,Price: ,4.1,ok
