1.121240082, Sport: ,Soccer, Time: ,Sun Oct 18 20:30:00 CEST 2015, Time: ,Sun Oct 18 20:30:00 CEST 2015, Event: ,El Tanque Sisley v Plaza Colonia, Favorite: ,El Tanque Sisley, 5593448   size:2.55,Price: ,2.02,Plaza Colonia, 10149637   size:2.55,Price: ,3.65,The Draw, 58805   size:2.55,Price: ,3.45,x
1.121329575, Sport: ,Tennis, Time: ,Mon Oct 19 06:00:00 CEST 2015, Time: ,Mon Oct 19 06:00:00 CEST 2015, Event: ,Y Bai v Pecotic, Favorite: ,Yan Bai, 3357363   size:3.08,Price: ,1.08,Matija Pecotic, 8713732   size:3.08,Price: ,1.08,x
1.121340000, Sport: ,Tennis, Time: ,Sun Oct 18 13:30:00 CEST 2015, Time: ,Sun Oct 18 13:30:00 CEST 2015, Event: ,Smitkova v S Vogt, Favorite: ,Tereza Smitkova, 7186355   size:53.24,Price: ,1.45,Stephanie Vogt, 2548776   size:16.01,Price: ,2.86,x
1.121329576, Sport: ,Tennis, Time: ,Mon Oct 19 06:00:00 CEST 2015, Time: ,Mon Oct 19 06:00:00 CEST 2015, Event: ,Cipolla v Soeda, Favorite: ,Flavio Cipolla, 2424788   size:3.08,Price: ,1.08,Go Soeda, 2249835   size:3.08,Price: ,1.08,ok
1.121329577, Sport: ,Tennis, Time: ,Mon Oct 19 06:00:00 CEST 2015, Time: ,Mon Oct 19 06:00:00 CEST 2015, Event: ,Ze Zhang v Duckworth, Favorite: ,Ze Zhang, 5021895   size:3.08,Price: ,1.08,James Duckworth, 6064287   size:3.08,Price: ,1.08,x
1.121239528, Sport: ,Soccer, Time: ,Sun Oct 18 15:00:00 CEST 2015, Time: ,Sun Oct 18 15:00:00 CEST 2015, Event: ,Borac Cacak v OFK Belgrade, Favorite: ,Borac Cacak, 2020561   size:2.55,Price: ,1.64,OFK Belgrade, 427627   size:2.68,Price: ,4.8,The Draw, 58805   size:4.07,Price: ,3.6,ok
1.121237109, Sport: ,Ice Hockey, Time: ,Sun Oct 18 17:00:00 CEST 2015, Time: ,Sun Oct 18 17:00:00 CEST 2015, Event: ,Lorenskog v Valerenga, Favorite: ,Lorenskog, 61424   size:56.61,Price: ,1.92,Valerenga, 61435   size:5.72,Price: ,3.05,Tie, 60104   size:7.27,Price: ,3.95,ok
1.121322095, Sport: ,Soccer, Time: ,Sun Oct 18 14:00:00 CEST 2015, Time: ,Sun Oct 18 14:00:00 CEST 2015, Event: ,Spartans WFC (W) v Celtic (W), Favorite: ,Spartans WFC (W), 9564709   size:3.52,Price: ,1.07,Celtic (W), 8635132   size:3.52,Price: ,1.07,The Draw, 58805   size:4.99,Price: ,3.1,x
1.121339817, Sport: ,Tennis, Time: ,Sun Oct 18 17:45:00 CEST 2015, Time: ,Sun Oct 18 17:45:00 CEST 2015, Event: ,T Monteiro v Moral, Favorite: ,Thiago Monteiro, 8326656   size:6.16,Price: ,1.04,Franco Moral, 8460147   size:6.16,Price: ,1.04,ok
1.121164964, Sport: ,Soccer, Time: ,Sun Oct 18 15:00:00 CEST 2015, Time: ,Sun Oct 18 15:00:00 CEST 2015, Event: ,Lyngby v Roskilde, Favorite: ,Lyngby, 28218   size:271.75,Price: ,1.73,Roskilde, 518517   size:29.19,Price: ,5.5,The Draw, 58805   size:9.45,Price: ,3.9,ok
1.121163198, Sport: ,Soccer, Time: ,Sun Oct 18 15:00:00 CEST 2015, Time: ,Sun Oct 18 15:00:00 CEST 2015, Event: ,Hradec Kralove v Vysehrad, Favorite: ,Vysehrad, 7589995   size:4.82,Price: ,1.07,Hradec Kralove, 367579   size:3.4,Price: ,1.47,The Draw, 58805   size:2.12,Price: ,3.6,x
