1.121604102, Sport: ,Tennis, Time: ,Sat Oct 31 19:00:00 CET 2015, Time: ,Sat Oct 31 19:00:00 CET 2015, Event: ,Smethurst v Bragusi, Favorite: ,Daniel Smethurst, 7364223   size:5.9,Price: ,1.1,Darius Florin Bragusi, 9623498   size:54.68,Price: ,6.2,ok
1.121419881, Sport: ,Soccer, Time: ,Sat Oct 31 19:30:00 CET 2015, Time: ,Sat Oct 31 19:30:00 CET 2015, Event: ,Uniao Madeira v Porto, Favorite: ,Porto, 48785   size:24.1,Price: ,1.27,Uniao Madeira, 505985   size:8.88,Price: ,17.0,The Draw, 58805   size:10.86,Price: ,6.2,x
1.121411921, Sport: ,Soccer, Time: ,Sat Oct 31 19:30:00 CET 2015, Time: ,Sat Oct 31 19:30:00 CET 2015, Event: ,Petrolul Ploiesti v CSMS Iasi, Favorite: ,Petrolul Ploiesti, 3417863   size:9.74,Price: ,2.72,CSMS Iasi, 5806015   size:54.51,Price: ,3.2,The Draw, 58805   size:20.6,Price: ,3.0,x
1.121564743, Sport: ,Soccer, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,SD Atletico Albericia v CD Guarnizo, Favorite: ,SD Atletico Albericia, 8941335   size:138.75,Price: ,1.06,CD Guarnizo, 6670872   size:138.75,Price: ,1.06,The Draw, 58805   size:5.6,Price: ,2.88,ok
1.121522267, Sport: ,Basketball, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Limoges v Cholet, Favorite: ,Limoges, 3817200   size:313.0,Price: ,1.16,Cholet, 678099   size:5.83,Price: ,6.0,ok
1.121556451, Sport: ,Basketball, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,Energa Czarni Slupsk v Jezioro Tarnobrzeg, Favorite: ,Energa Czarni Slupsk, 2125689   size:2.55,Price: ,1.16,Jezioro Tarnobrzeg, 6703616   size:5.13,Price: ,4.4,ok
1.121420662, Sport: ,Soccer, Time: ,Sat Oct 31 20:10:00 CET 2015, Time: ,Sat Oct 31 20:10:00 CET 2015, Event: ,Vitoria BA v Nautico, Favorite: ,Vitoria BA, 5310329   size:13.25,Price: ,1.58,Nautico, 2397366   size:54.82,Price: ,6.6,The Draw, 58805   size:22.98,Price: ,4.3,x
1.121507097, Sport: ,Soccer, Time: ,Sat Oct 31 18:30:00 CET 2015, Time: ,Sat Oct 31 18:30:00 CET 2015, Event: ,CD Guadalajara v CD Ebro, Favorite: ,CD Guadalajara, 2522816   size:13.45,Price: ,1.43,CD Ebro, 8041211   size:15.57,Price: ,10.0,The Draw, 58805   size:3.7,Price: ,4.3,x
1.121522251, Sport: ,Basketball, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Prostejov v Svitavy, Favorite: ,Prostejov, 5866240   size:2.8,Price: ,1.02,Svitavy, 7758631   size:2.8,Price: ,1.02,ok
1.121413210, Sport: ,Soccer, Time: ,Sat Oct 31 18:20:00 CET 2015, Time: ,Sat Oct 31 18:20:00 CET 2015, Event: ,Dunajska Streda v Zilina, Favorite: ,Zilina, 189806   size:32.72,Price: ,2.2,Dunajska Streda, 3176495   size:4.21,Price: ,3.55,The Draw, 58805   size:6.25,Price: ,3.6,x
1.121522250, Sport: ,Basketball, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Spartak Pleven v Levski Sofia, Favorite: ,Spartak Pleven, 7753535   size:65.82,Price: ,1.69,Levski Sofia, 8783027   size:65.82,Price: ,1.69,ok
1.121404739, Sport: ,Soccer, Time: ,Sat Oct 31 19:00:00 CET 2015, Time: ,Sat Oct 31 19:00:00 CET 2015, Event: ,Istra v NK Zagreb, Favorite: ,Istra, 4057076   size:6.09,Price: ,2.26,NK Zagreb, 189804   size:42.09,Price: ,3.65,The Draw, 58805   size:34.48,Price: ,3.45,x
1.121493523, Sport: ,American Football, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Colorado @ UCLA, Favorite: ,UCLA, 662042   size:4.58,Price: ,1.07,Colorado, 998003   size:14.75,Price: ,10.5,ok
1.121522259, Sport: ,Basketball, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Chalons Reims v Le Mans, Favorite: ,Le Mans, 678096   size:2.55,Price: ,1.71,Chalons Reims, 6736111   size:100.4,Price: ,2.2,ok
1.121522377, Sport: ,Basketball, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Pinar Karsiyaka v Trabzonspor, Favorite: ,Pinar Karsiyaka, 631283   size:92.0,Price: ,1.27,Trabzonspor, 5048068   size:15.93,Price: ,3.85,ok
1.121493519, Sport: ,American Football, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Syracuse @ Florida State, Favorite: ,Florida State, 484734   size:140.16,Price: ,1.15,Syracuse, 962159   size:24.74,Price: ,2.72,ok
1.121403775, Sport: ,Soccer, Time: ,Sat Oct 31 18:30:00 CET 2015, Time: ,Sat Oct 31 18:30:00 CET 2015, Event: ,SV Ried v Admira Wacker, Favorite: ,SV Ried, 872714   size:18.11,Price: ,2.1,Admira Wacker, 729699   size:150.98,Price: ,3.8,The Draw, 58805   size:92.67,Price: ,3.7,x
1.121604121, Sport: ,Tennis, Time: ,Sat Oct 31 16:40:00 CET 2015, Time: ,Sat Oct 31 16:40:00 CET 2015, Event: ,J Richmond v Rice, Favorite: ,David Rice, 7366957   size:75.22,Price: ,1.02,John Harrison Richmond, 6596548   size:11.97,Price: ,1.03,ok
1.121522243, Sport: ,Basketball, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Zadar v Union Olimpija, Favorite: ,Zadar, 680759   size:135.0,Price: ,1.74,Union Olimpija, 266278   size:114.0,Price: ,1.87,ok
