1.122571382, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,Leki Hockey v Tuto Hockey, Favorite: ,TuTo Hockey, 10670739   size:2.18,Price: ,2.1,Leki Hockey, 10670787   size:7.51,Price: ,2.44,Tie, 60104   size:111.43,Price: ,4.0,ok
1.122504008, Sport: ,Soccer, Time: ,Sat Jan 16 04:30:00 CET 2016, Time: ,Sat Jan 16 04:30:00 CET 2016, Event: ,Santos Laguna v Jaguares, Favorite: ,Santos Laguna, 328957   size:11.34,Price: ,2.06,Jaguares, 328953   size:116.86,Price: ,3.9,The Draw, 58805   size:367.05,Price: ,3.65,ok
1.122507515, Sport: ,Soccer, Time: ,Sat Jan 16 03:30:00 CET 2016, Time: ,Sat Jan 16 03:30:00 CET 2016, Event: ,Venados FC v Necaxa, Favorite: ,Venados FC, 9988658   size:4.58,Price: ,2.44,Necaxa, 230910   size:2.54,Price: ,2.7,The Draw, 58805   size:2.54,Price: ,3.35,x
1.122571381, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,K-Vantaa v Hermes, Favorite: ,K-Vantaa, 272757   size:2.55,Price: ,1.8,Hermes, 272755   size:6.18,Price: ,3.05,Tie, 60104   size:107.87,Price: ,4.1,x
1.122494993, Sport: ,Soccer, Time: ,Fri Jan 15 20:00:00 CET 2016, Time: ,Fri Jan 15 20:00:00 CET 2016, Event: ,VVV v Almere City, Favorite: ,VVV, 503419   size:272.12,Price: ,1.47,Almere City, 4835124   size:21.35,Price: ,7.2,The Draw, 58805   size:2.0,Price: ,5.1,ok
1.122578216, Sport: ,Soccer, Time: ,Fri Jan 15 14:00:00 CET 2016, Time: ,Fri Jan 15 14:00:00 CET 2016, Event: ,Viborg v Skive, Favorite: ,Viborg, 10780   size:3.16,Price: ,1.58,Skive, 151005   size:3.64,Price: ,4.6,The Draw, 58805   size:3.88,Price: ,3.75,x
1.122577920, Sport: ,Soccer, Time: ,Fri Jan 15 14:00:00 CET 2016, Time: ,Fri Jan 15 14:00:00 CET 2016, Event: ,FC Ufa v Shijiazhuang Yongchang, Favorite: ,FC Ufa, 6505028   size:6.12,Price: ,1.09,Shijiazhuang Yongchang, 9279851   size:82.69,Price: ,1.3,The Draw, 58805   size:15.88,Price: ,2.88,ok
1.122571380, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,Jukurit Mikkeli v Keupa HT, Favorite: ,Jukurit Mikkeli, 10669697   size:3.67,Price: ,1.25,Keupa HT, 10669694   size:66.93,Price: ,6.0,Tie, 60104   size:13.78,Price: ,5.9,x
1.122574896, Sport: ,Basketball, Time: ,Sat Jan 16 06:00:00 CET 2016, Time: ,Sat Jan 16 06:00:00 CET 2016, Event: ,Incheon Elephants v Seoul Thunders, Favorite: ,Incheon Elephants, 8248315   size:2.64,Price: ,1.03,Seoul Thunders, 8000107   size:2.64,Price: ,1.03,x
1.122579787, Sport: ,Soccer, Time: ,Fri Jan 15 11:00:00 CET 2016, Time: ,Fri Jan 15 11:00:00 CET 2016, Event: ,MC Oran U21 v ES Setif U21, Favorite: ,ES Setif U21, 8067442   size:2.64,Price: ,2.18,MC Oran U21, 8316599   size:3.43,Price: ,3.1,The Draw, 58805   size:4.29,Price: ,3.6,x
