1.121481365, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Halesowen v Mickleover Sports, Favorite: ,Halesowen, 981240   size:2.42,Price: ,1.06,Mickleover Sports, 7886720   size:2.42,Price: ,1.06,The Draw, 58805   size:6.93,Price: ,2.2
1.121489227, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Welling Utd v Grays Athletic, Favorite: ,Welling Utd, 1222695   size:14.3,Price: ,1.52,Grays Athletic, 62644   size:5.57,Price: ,3.9,The Draw, 58805   size:6.43,Price: ,4.0
1.121489232, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Carrick Rangers v HW Welders, Favorite: ,Carrick Rangers, 2757225   size:137.33,Price: ,1.06,HW Welders, 4435926   size:137.33,Price: ,1.06,The Draw, 58805   size:12.17,Price: ,2.88
1.121482940, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Linfield v Cliftonville, Favorite: ,Linfield, 44330   size:2.42,Price: ,1.06,Cliftonville, 539979   size:2.42,Price: ,1.06,The Draw, 58805   size:6.93,Price: ,2.2
1.121488627, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Fleet Town FC v Hanwell Town FC, Favorite: ,Fleet Town FC, 8105136   size:236.54,Price: ,1.01,Hanwell Town FC, 10461804   size:236.54,Price: ,1.01,The Draw, 58805   size:2.42,Price: ,1.06
1.121365281, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Go Ahead Eagles v Willem II, Favorite: ,Willem II, 48455   size:840.18,Price: ,2.3,Go Ahead Eagles, 419123   size:50.0,Price: ,3.2,The Draw, 58805   size:2.35,Price: ,3.65
1.121366798, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Morton v St Johnstone, Favorite: ,St Johnstone, 57425   size:233.99,Price: ,1.64,Morton, 46283   size:31.99,Price: ,5.6,The Draw, 58805   size:75.39,Price: ,4.0
1.121488682, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Swindon Supermarine v Cinderford, Favorite: ,Swindon Supermarine, 3491518   size:236.54,Price: ,1.01,Cinderford, 8716284   size:236.54,Price: ,1.01,The Draw, 58805   size:2.42,Price: ,1.06
1.121364521, Sport: ,Soccer, Time: ,Tue Oct 27 21:00:00 CET 2015, Time: ,Tue Oct 27 21:00:00 CET 2015, Event: ,SC Bastia v Rennes, Favorite: ,Rennes, 44799   size:37.12,Price: ,2.46,SC Bastia, 7534982   size:186.06,Price: ,3.4,The Draw, 58805   size:250.25,Price: ,3.2
1.121479748, Sport: ,Soccer, Time: ,Tue Oct 27 21:30:00 CET 2015, Time: ,Tue Oct 27 21:30:00 CET 2015, Event: ,Leon de Huanuco v Universitario, Favorite: ,Leon de Huanuco, 5176230   size:4.77,Price: ,2.42,Universitario, 330229   size:20.15,Price: ,3.2,The Draw, 58805   size:23.99,Price: ,3.55
