1.121932941, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,L Aquila v Prato, Favorite: ,L Aquila, 769089   size:7.82,Price: ,2.36,Prato, 522047   size:2.82,Price: ,3.05,The Draw, 58805   size:14.19,Price: ,3.0,ok
1.122061525, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,UD Almansa v CD Illescas, Favorite: ,UD Almansa, 9339213   size:12.57,Price: ,1.03,CD Illescas, 6962248   size:12.57,Price: ,1.03,The Draw, 58805   size:2.83,Price: ,1.25,ok
1.121932946, Sport: ,Soccer, Time: ,Sun Nov 29 15:00:00 CET 2015, Time: ,Sun Nov 29 15:00:00 CET 2015, Event: ,Santarcangelo v SPAL, Favorite: ,Spal, 3307906   size:2.55,Price: ,2.3,S,ok
1.121937443, Sport: ,Soccer, Time: ,Sat Nov 28 17:00:00 CET 2015, Time: ,Sat Nov 28 17:00:00 CET 2015, Event: ,Olimpia Grudziadz v Bytovia Bytow, Favorite: ,Olimpia Grudziadz, 4135268   size:7.46,Price: ,2.3,Bytovia Bytow, 5876553   size:4.25,Price: ,2.98,The Draw, 58805   size:16.77,Price: ,3.35,x
1.121985766, Sport: ,Basketball, Time: ,Sat Nov 28 19:00:00 CET 2015, Time: ,Sat Nov 28 19:00:00 CET 2015, Event: ,Mega Vizura v Krka, Favorite: ,Mega Vizura, 7735104   size:5.0,Price: ,1.28,Krka, 3315294   size:22.0,Price: ,4.4,ok
1.121985801, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Badalona v Sabadell, Favorite: ,Badalona, 968178   size:2.55,Price: ,1.98,Sabadell, 565026   size:16.95,Price: ,4.6,The Draw, 58805   size:2.55,Price: ,3.2,x
1.122061761, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,UE Rubi v UE Figueres, Favorite: ,UE Rubi, 6929307   size:12.57,Price: ,1.03,UE Figueres, 7156507   size:12.57,Price: ,1.03,The Draw, 58805   size:2.83,Price: ,1.25,ok
1.121932950, Sport: ,Soccer, Time: ,Sun Nov 29 15:00:00 CET 2015, Time: ,Sun Nov 29 15:00:00 CET 2015, Event: ,Fidelis Andria v Martina Franca, Favorite: ,Fidelis Andria, 928539   size:2.82,Price: ,1.84,Martina Franca, 8188317   size:2.82,Price: ,4.8,The Draw, 58805   size:6.17,Price: ,3.3,ok
1.121970126, Sport: ,American Football, Time: ,Sat Nov 28 18:00:00 CET 2015, Time: ,Sat Nov 28 18:00:00 CET 2015, Event: ,Clemson @ South Carolina, Favorite: ,Clemson, 673441   size:76.17,Price: ,1.1,South Carolina, 550999   size:10.26,Price: ,8.6,ok
1.122017367, Sport: ,Volleyball, Time: ,Sun Nov 29 12:15:00 CET 2015, Time: ,Sun Nov 29 12:15:00 CET 2015, Event: ,VP Madrid v Ushuaia Ibiza, Favorite: ,Ushuaia Ibiza, 6742606   size:2.83,Price: ,1.03,VP Madrid, 7848179   size:655.5,Price: ,1.04,x
1.121972173, Sport: ,Soccer, Time: ,Sat Nov 28 20:00:00 CET 2015, Time: ,Sat Nov 28 20:00:00 CET 2015, Event: ,Kawkab Marrakech v RSB Berkane, Favorite: ,Kawkab Marrakech, 5228278   size:2.4,Price: ,2.38,RSB Berkane, 6666990   size:2.55,Price: ,3.35,The Draw, 58805   size:2.08,Price: ,3.1,x
1.121933082, Sport: ,Soccer, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,Seongnam Ilhwa v Jeju Utd, Favorite: ,Seongnam Ilhwa, 1184529   size:15.89,Price: ,2.28,Jeju Utd, 5342583   size:117.62,Price: ,3.55,The Draw, 58805   size:4.99,Price: ,3.35,ok
1.121970123, Sport: ,American Football, Time: ,Sat Nov 28 18:00:00 CET 2015, Time: ,Sat Nov 28 18:00:00 CET 2015, Event: ,Ohio State @ Michigan, Favorite: ,Ohio State, 484727   size:5.0,Price: ,1.83,Michigan, 484729   size:120.94,Price: ,2.06,ok
