1.122196899, Sport: ,Soccer, Time: ,Wed Dec 09 14:00:00 CET 2015, Time: ,Wed Dec 09 14:00:00 CET 2015, Event: ,Al Ahli (QAT) v Lekhwiya, Favorite: ,Lekhwiya, 5168555   size:3.34,Price: ,1.56,Al Ahli (QAT), 5671996   size:4.55,Price: ,4.8,The Draw, 58805   size:2.55,Price: ,4.1,ok
1.122123416, Sport: ,Handball, Time: ,Wed Dec 09 20:15:00 CET 2015, Time: ,Wed Dec 09 20:15:00 CET 2015, Event: ,Chambery v Aix, Favorite: ,Chambery, 3361608   size:2.75,Price: ,1.03,Aix, 6721925   size:5.96,Price: ,1.28,Draw, 330157   size:5.96,Price: ,1.28,ok
1.122123414, Sport: ,Handball, Time: ,Wed Dec 09 20:30:00 CET 2015, Time: ,Wed Dec 09 20:30:00 CET 2015, Event: ,Tremblay v Nimes, Favorite: ,Tremblay, 4292471   size:2.75,Price: ,1.03,Nimes, 4292475   size:2.75,Price: ,1.03,Draw, 330157   size:75.0,Price: ,1.04,x
1.122123419, Sport: ,Handball, Time: ,Wed Dec 09 20:30:00 CET 2015, Time: ,Wed Dec 09 20:30:00 CET 2015, Event: ,Cesson Rennes v Toulouse, Favorite: ,Cesson Rennes, 6721923   size:15.99,Price: ,1.04,Toulouse, 3778896   size:18.0,Price: ,1.12,Draw, 330157   size:18.0,Price: ,1.22,x
1.122166784, Sport: ,Basketball, Time: ,Thu Dec 10 03:05:00 CET 2015, Time: ,Thu Dec 10 03:05:00 CET 2015, Event: ,Orlando @ Phoenix, Favorite: ,Phoenix, 13128   size:2.55,Price: ,1.51,Orlando, 13104   size:5.18,Price: ,2.44,ok
1.122189687, Sport: ,Volleyball, Time: ,Wed Dec 09 09:00:00 CET 2015, Time: ,Wed Dec 09 09:00:00 CET 2015, Event: ,Korea Expressway v Hyundai Hillstate, Favorite: ,Korea Expressway, 10451170   size:2.75,Price: ,1.03,Hyundai Hillstate, 10391682   size:2.75,Price: ,1.03,ok
1.122194355, Sport: ,Soccer, Time: ,Wed Dec 09 19:00:00 CET 2015, Time: ,Wed Dec 09 19:00:00 CET 2015, Event: ,CMD San Juan v Conil, Favorite: ,CMD San Juan, 8390549   size:15.79,Price: ,1.73,Conil, 9315718   size:35.68,Price: ,3.85,The Draw, 58805   size:13.94,Price: ,3.15,ok
1.122191080, Sport: ,Basketball, Time: ,Thu Dec 10 01:00:00 CET 2015, Time: ,Thu Dec 10 01:00:00 CET 2015, Event: ,Maryland-Eastern Shore @ Michigan State, Favorite: ,Maryland-Eastern Shore, 5145594   size:2.75,Price: ,1.03,Michigan State, 29834   size:2.75,Price: ,1.03,x
1.122108141, Sport: ,Soccer, Time: ,Wed Dec 09 14:00:00 CET 2015, Time: ,Wed Dec 09 14:00:00 CET 2015, Event: ,Gent U19 v Zenit St Petersburg U19, Favorite: ,Gent U19, 10262015   size:7.77,Price: ,2.46,Zenit St Petersburg U19, 7653290   size:2.75,Price: ,2.58,The Draw, 58805   size:2.55,Price: ,3.65,x
1.122180627, Sport: ,Handball, Time: ,Wed Dec 09 18:30:00 CET 2015, Time: ,Wed Dec 09 18:30:00 CET 2015, Event: ,Angola v Poland, Favorite: ,Poland, 624114   size:5.96,Price: ,1.18,Angola, 620389   size:86.01,Price: ,2.6,Draw, 330157   size:10.58,Price: ,14.0,ok
1.122197064, Sport: ,Soccer, Time: ,Wed Dec 09 14:00:00 CET 2015, Time: ,Wed Dec 09 14:00:00 CET 2015, Event: ,Qatar SC v Al Gharafa, Favorite: ,Al Gharafa, 2909657   size:10.52,Price: ,2.28,Qatar SC, 5170882   size:2.69,Price: ,2.62,The Draw, 58805   size:17.68,Price: ,3.6,x
1.122180623, Sport: ,Handball, Time: ,Wed Dec 09 16:15:00 CET 2015, Time: ,Wed Dec 09 16:15:00 CET 2015, Event: ,Cuba v Netherlands, Favorite: ,Netherlands, 626085   size:0.0,Price: ,0.0,Cuba, 3228920   size:12.0,Price: ,300.0,Draw, 330157   size:12.0,Price: ,300.0,ok
1.122183469, Sport: ,Basketball, Time: ,Wed Dec 09 20:30:00 CET 2015, Time: ,Wed Dec 09 20:30:00 CET 2015, Event: ,Venezia v Valencia, Favorite: ,Valencia, 599260   size:2.55,Price: ,1.46,Venezia, 5878119   size:72.42,Price: ,2.9,ok
1.122180631, Sport: ,Handball, Time: ,Wed Dec 09 20:45:00 CET 2015, Time: ,Wed Dec 09 20:45:00 CET 2015, Event: ,Sweden v China, Favorite: ,Sweden, 624135   size:0.0,Price: ,0.0,China, 620391   size:2.65,Price: ,120.0,Draw, 330157   size:2.65,Price: ,120.0,ok
1.122108702, Sport: ,Soccer, Time: ,Wed Dec 09 19:15:00 CET 2015, Time: ,Wed Dec 09 19:15:00 CET 2015, Event: ,Caudal Deportivo v Urraca CF, Favorite: ,Caudal Deportivo, 6603990   size:2.67,Price: ,1.13,Urraca CF, 7229861   size:34.4,Price: ,26.0,The Draw, 58805   size:3.57,Price: ,7.0,ok
1.122108826, Sport: ,Soccer, Time: ,Wed Dec 09 16:00:00 CET 2015, Time: ,Wed Dec 09 16:00:00 CET 2015, Event: ,Leixoes v Oriental, Favorite: ,Leixoes, 146050   size:12.38,Price: ,1.94,Oriental, 970435   size:85.46,Price: ,4.5,The Draw, 58805   size:142.63,Price: ,3.5,x
1.122206266, Sport: ,Soccer, Time: ,Wed Dec 09 16:00:00 CET 2015, Time: ,Wed Dec 09 16:00:00 CET 2015, Event: ,Senegal U23 v Nigeria U23, Favorite: ,Senegal U23, 10580353   size:14.0,Price: ,1.89,Nigeria U23, 10563306   size:12.99,Price: ,3.05,The Draw, 58805   size:18.1,Price: ,3.1,x
1.122002155, Sport: ,Soccer, Time: ,Wed Dec 09 20:45:00 CET 2015, Time: ,Wed Dec 09 20:45:00 CET 2015, Event: ,Roma v BATE Borisov, Favorite: ,Roma, 56967   size:4963.02,Price: ,1.36,BATE Borisov, 46949   size:928.01,Price: ,10.0,The Draw, 58805   size:1096.47,Price: ,5.8,x
1.122196624, Sport: ,Soccer, Time: ,Wed Dec 09 20:45:00 CET 2015, Time: ,Wed Dec 09 20:45:00 CET 2015, Event: ,Carrick Rangers (Res) v Glenavon (Res), Favorite: ,Carrick Rangers (Res), 10168817   size:3.66,Price: ,1.13,Glenavon (Res), 8288759   size:3.66,Price: ,1.13,The Draw, 58805   size:17.89,Price: ,3.15,x
1.122195411, Sport: ,Soccer, Time: ,Wed Dec 09 20:30:00 CET 2015, Time: ,Wed Dec 09 20:30:00 CET 2015, Event: ,Criciuma EC U20 v Gremio U20, Favorite: ,Gremio U20, 6014425   size:2.55,Price: ,1.28,Criciuma EC U20, 7625750   size:204.85,Price: ,4.9,The Draw, 58805   size:292.8,Price: ,3.8,x
1.122191177, Sport: ,Volleyball, Time: ,Wed Dec 09 20:30:00 CET 2015, Time: ,Wed Dec 09 20:30:00 CET 2015, Event: ,Gorgonzola Novara v Atom Trefl Sopot, Favorite: ,ATOM Trefl Sopot, 5212059   size:3.89,Price: ,1.03,Gorgonzola Novara, 10368510   size:1178.08,Price: ,1.04,ok
