1.121269018, Sport: ,Soccer, Time: ,Sat Oct 24 14:00:00 CEST 2015, Time: ,Sat Oct 24 14:00:00 CEST 2015, Event: ,Bayreuth v Rain am Lech, Favorite: ,Bayreuth, 1212737   size:5.4,Price: ,1.73,Rain am Lech, 6516917   size:3.75,Price: ,5.0,The Draw, 58805   size:39.71,Price: ,4.0
1.121432825, Sport: ,Soccer, Time: ,Sat Oct 24 14:00:00 CEST 2015, Time: ,Sat Oct 24 14:00:00 CEST 2015, Event: ,Legia Warsaw U19 v FKS Stal Mielec U19, Favorite: ,Legia Warsaw U19, 10317773   size:3.62,Price: ,1.07,FKS Stal Mielec U19, 7619052   size:3.62,Price: ,1.07,The Draw, 58805   size:4.16,Price: ,2.88
1.121433705, Sport: ,Soccer, Time: ,Sat Oct 24 14:30:00 CEST 2015, Time: ,Sat Oct 24 14:30:00 CEST 2015, Event: ,FC Nitra v Nove Mesto nad Vahom, Favorite: ,FC Nitra, 1506281   size:3.28,Price: ,1.39,Nove Mesto nad Vahom, 10257123   size:9.05,Price: ,4.2,The Draw, 58805   size:17.17,Price: ,3.8
1.121432880, Sport: ,Soccer, Time: ,Sat Oct 24 14:45:00 CEST 2015, Time: ,Sat Oct 24 14:45:00 CEST 2015, Event: ,MKS Pogon Szczecin U19 v FC Wroclaw Academy U19, Favorite: ,MKS Pogon Szczecin U19, 6486132   size:3.62,Price: ,1.07,FC Wroclaw Academy U19, 10124716   size:3.62,Price: ,1.07,The Draw, 58805   size:4.16,Price: ,2.88
1.121344250, Sport: ,Rugby Union, Time: ,Sat Oct 24 14:45:00 CEST 2015, Time: ,Sat Oct 24 14:45:00 CEST 2015, Event: ,Northampton v Newcastle, Favorite: ,Northampton, 50103   size:728.49,Price: ,1.11,Newcastle, 1247243   size:73.1,Price: ,5.8,Draw, 246289   size:69.52,Price: ,28.0
1.121344253, Sport: ,Rugby Union, Time: ,Sat Oct 24 15:00:00 CEST 2015, Time: ,Sat Oct 24 15:00:00 CEST 2015, Event: ,Wasps v Bath, Favorite: ,Wasps, 8878   size:2.85,Price: ,1.72,Bath, 8887   size:2.72,Price: ,2.4,Draw, 246289   size:13.89,Price: ,20.0
1.121433100, Sport: ,Soccer, Time: ,Sat Oct 24 16:00:00 CEST 2015, Time: ,Sat Oct 24 16:00:00 CEST 2015, Event: ,Al Hussein v Al Wehdat, Favorite: ,Al Wehdat, 5553914   size:3.36,Price: ,1.28,Al Hussein, 5360907   size:3.94,Price: ,5.6,The Draw, 58805   size:40.01,Price: ,4.2
1.121268797, Sport: ,Soccer, Time: ,Sat Oct 24 18:00:00 CEST 2015, Time: ,Sat Oct 24 18:00:00 CEST 2015, Event: ,CF America U20 v Queretaro U20, Favorite: ,CF America U20, 6450386   size:10.88,Price: ,1.1,Queretaro U20, 5253684   size:10.88,Price: ,1.1,The Draw, 58805   size:4.16,Price: ,2.88
1.121433213, Sport: ,Soccer, Time: ,Sat Oct 24 18:30:00 CEST 2015, Time: ,Sat Oct 24 18:30:00 CEST 2015, Event: ,Al Jazeera (JOR) v Al Ahli (JOR), Favorite: ,Al Jazeera (Jor), 9262035   size:3.62,Price: ,1.07,Al Ahli (Jor), 10284500   size:3.62,Price: ,1.07,The Draw, 58805   size:4.16,Price: ,2.88
1.121385126, Sport: ,Ice Hockey, Time: ,Sat Oct 24 19:45:00 CEST 2015, Time: ,Sat Oct 24 19:45:00 CEST 2015, Event: ,Geneve Servette v Zug, Favorite: ,Geneve Servette, 4932959   size:32.57,Price: ,2.28,Zug, 257975   size:22.94,Price: ,2.38,Tie, 60104   size:115.79,Price: ,4.0
1.121385132, Sport: ,Ice Hockey, Time: ,Sat Oct 24 19:45:00 CEST 2015, Time: ,Sat Oct 24 19:45:00 CEST 2015, Event: ,Davos v Biel, Favorite: ,Davos, 243249   size:64.17,Price: ,1.35,Biel, 3315685   size:80.77,Price: ,5.3,Tie, 60104   size:24.81,Price: ,6.6
1.121385119, Sport: ,Ice Hockey, Time: ,Sat Oct 24 19:45:00 CEST 2015, Time: ,Sat Oct 24 19:45:00 CEST 2015, Event: ,Bern v Fribourg Gotteron, Favorite: ,Bern, 243256   size:138.96,Price: ,1.84,Fribourg Gotteron, 243252   size:29.0,Price: ,2.98,Tie, 60104   size:105.26,Price: ,4.3
1.121385120, Sport: ,Ice Hockey, Time: ,Sat Oct 24 19:45:00 CEST 2015, Time: ,Sat Oct 24 19:45:00 CEST 2015, Event: ,Kloten Flyers v Lausanne HC, Favorite: ,Kloten Flyers, 243255   size:138.96,Price: ,1.88,Lausanne HC, 7555451   size:29.0,Price: ,2.98,Tie, 60104   size:115.79,Price: ,4.0
1.121385148, Sport: ,Ice Hockey, Time: ,Sat Oct 24 20:30:00 CEST 2015, Time: ,Sat Oct 24 20:30:00 CEST 2015, Event: ,Lugano v Ambri Piotta, Favorite: ,Lugano, 243259   size:56.92,Price: ,1.52,Ambri Piotta, 2584459   size:119.78,Price: ,3.9,Tie, 60104   size:96.49,Price: ,4.6
1.121345178, Sport: ,Boxing, Time: ,Sat Oct 24 21:00:00 CEST 2015, Time: ,Sat Oct 24 21:00:00 CEST 2015, Event: ,Eubank Jr v Jeter, Favorite: ,Chris Eubank Jr, 8521208   size:42931.09,Price: ,1.01,Tony Jeter, 10434725   size:5.55,Price: ,44.0,Draw, 31162   size:33.35,Price: ,95.0
1.121268742, Sport: ,Soccer, Time: ,Sat Oct 24 21:30:00 CEST 2015, Time: ,Sat Oct 24 21:30:00 CEST 2015, Event: ,Deportivo JBL del Zulia v Atletico Socopo, Favorite: ,Deportivo JBL del Zulia, 9989699   size:3.62,Price: ,1.07,Atletico Socopo, 10096564   size:3.62,Price: ,1.07,The Draw, 58805   size:4.79,Price: ,2.88
