1.119422734, Sport: ,Tennis, Time: ,Thu Jul 09 05:00:00 CEST 2015, Time: ,Thu Jul 09 05:00:00 CEST 2015, Event: ,Sema v Han, Favorite: ,Erika Sema, 4151738   size:3.28,Price: ,1.87,Xinyun Han, 3172285   size:166.39,Price: ,1.88,x
1.119336228, Sport: ,Soccer, Time: ,Wed Jul 08 20:30:00 CEST 2015, Time: ,Wed Jul 08 20:30:00 CEST 2015, Event: ,Parkgate v Rotherham, Favorite: ,Rotherham, 18565   size:137.43,Price: ,1.06,Parkgate, 7405944   size:136.11,Price: ,1.15,The Draw, 58805   size:27.76,Price: ,2.0,ok
1.119330156, Sport: ,Soccer, Time: ,Wed Jul 08 21:00:00 CEST 2015, Time: ,Wed Jul 08 21:00:00 CEST 2015, Event: ,Valur U19 v Afturelding H Ridd U19, Favorite: ,Valur U19, 6347898   size:33.15,Price: ,1.45,Afturelding H Ridd U19, 6374420   size:5.7,Price: ,2.02,The Draw, 58805   size:11.18,Price: ,3.5,ok
1.119336013, Sport: ,Soccer, Time: ,Wed Jul 08 20:30:00 CEST 2015, Time: ,Wed Jul 08 20:30:00 CEST 2015, Event: ,Arnold Town v Notts Co, Favorite: ,Notts Co, 486328   size:2.53,Price: ,1.12,Arnold Town, 8681926   size:2.64,Price: ,2.04,The Draw, 58805   size:2.64,Price: ,3.55,ok
1.119416319, Sport: ,Soccer, Time: ,Thu Jul 09 02:00:00 CEST 2015, Time: ,Thu Jul 09 02:00:00 CEST 2015, Event: ,Toronto FC II v Pittsburgh Riverhounds, Favorite: ,Toronto FC II, 5545098   size:2.72,Price: ,2.26,Pittsburgh Riverhounds, 5748486   size:2.25,Price: ,2.72,The Draw, 58805   size:3.12,Price: ,3.25,x
1.119415139, Sport: ,Soccer, Time: ,Thu Jul 09 02:00:00 CEST 2015, Time: ,Thu Jul 09 02:00:00 CEST 2015, Event: ,Deportes Iquique v Antofagasta, Favorite: ,Deportes Iquique, 5271441   size:26.63,Price: ,2.42,Antofagasta, 6105741   size:6.94,Price: ,3.2,The Draw, 58805   size:39.38,Price: ,3.45,x
1.119405136, Sport: ,Soccer, Time: ,Thu Jul 09 00:30:00 CEST 2015, Time: ,Thu Jul 09 00:30:00 CEST 2015, Event: ,Deportivo Espanol v Flandria, Favorite: ,Deportivo Espanol, 9218811   size:2.02,Price: ,2.46,The Draw, 58805   size:25.12,Price: ,2.86,Flandria, 9509138   size:4.06,Price: ,3.25,ok
1.119367026, Sport: ,Baseball, Time: ,Thu Jul 09 01:05:00 CEST 2015, Time: ,Thu Jul 09 01:05:00 CEST 2015, Event: ,SD @ PIT, Favorite: ,Pittsburgh (C Morton), 3966279   size:106.26,Price: ,1.76,San Diego (A Cashner), 6436041   size:267.61,Price: ,2.22,ok
1.119340760, Sport: ,Soccer, Time: ,Thu Jul 09 02:00:00 CEST 2015, Time: ,Thu Jul 09 02:00:00 CEST 2015, Event: ,Figueirense v Joinville, Favorite: ,Figueirense, 198125   size:36.54,Price: ,1.86,The Draw, 58805   size:172.06,Price: ,3.6,Joinville, 5259406   size:200.42,Price: ,5.3,x
1.119367018, Sport: ,Baseball, Time: ,Thu Jul 09 01:05:00 CEST 2015, Time: ,Thu Jul 09 01:05:00 CEST 2015, Event: ,CIN @ WSH, Favorite: ,Washington (G Gonzalez), 6292847   size:486.59,Price: ,1.67,Cincinnati (M Lorenzen), 9444109   size:63.88,Price: ,2.44,x
