1.119574288, Sport: ,Baseball, Time: ,Sun Jul 26 01:10:00 CEST 2015, Time: ,Sun Jul 26 01:10:00 CEST 2015, Event: ,CWS @ CLE, Favorite: ,Chicago White Sox (C Sale), 6296975   size:101.0,Price: ,1.93,Cleveland (C Carrasco), 4153692   size:5.0,Price: ,2.04,ok
1.119574320, Sport: ,Baseball, Time: ,Sun Jul 26 01:15:00 CEST 2015, Time: ,Sun Jul 26 01:15:00 CEST 2015, Event: ,ATL @ STL, Favorite: ,St Louis (C Martinez), 7564048   size:251.99,Price: ,1.49,Atlanta (S Miller), 9385068   size:101.0,Price: ,2.92,ok
1.119574280, Sport: ,Baseball, Time: ,Sun Jul 26 01:05:00 CEST 2015, Time: ,Sun Jul 26 01:05:00 CEST 2015, Event: ,WSH @ PIT, Favorite: ,Pittsburgh (A Burnett), 6327266   size:257.0,Price: ,1.68,Washington (G Gonzalez), 6292847   size:92.0,Price: ,2.38,x
1.119608307, Sport: ,Soccer, Time: ,Sun Jul 26 01:30:00 CEST 2015, Time: ,Sun Jul 26 01:30:00 CEST 2015, Event: ,River Plate (Ecu) v Emelec, Favorite: ,Emelec, 328197   size:12.94,Price: ,1.68,The Draw, 58805   size:2.55,Price: ,3.75,River Plate (Ecu), 9180231   size:12.85,Price: ,6.4,ok
1.119657154, Sport: ,Soccer, Time: ,Sat Jul 25 21:00:00 CEST 2015, Time: ,Sat Jul 25 21:00:00 CEST 2015, Event: ,Union San Felipe v Puerto Montt, Favorite: ,Puerto Montt, 5684078   size:10.92,Price: ,1.08,Union San Felipe, 4966011   size:5.0,Price: ,1.09,The Draw, 58805   size:5.0,Price: ,1.3,x
1.119534154, Sport: ,Soccer, Time: ,Sat Jul 25 21:30:00 CEST 2015, Time: ,Sat Jul 25 21:30:00 CEST 2015, Event: ,Nautico v Vitoria BA, Favorite: ,Nautico, 2397366   size:442.07,Price: ,2.4,Vitoria BA, 5310329   size:37.68,Price: ,3.25,The Draw, 58805   size:25.48,Price: ,3.45,ok
1.119558366, Sport: ,Soccer, Time: ,Sun Jul 26 03:06:00 CEST 2015, Time: ,Sun Jul 26 03:06:00 CEST 2015, Event: ,Pachuca v Tijuana, Favorite: ,Pachuca, 328954   size:2.91,Price: ,2.1,The Draw, 58805   size:118.44,Price: ,3.6,Tijuana, 5687741   size:41.23,Price: ,3.95,ok
1.119593914, Sport: ,Mixed Martial Arts, Time: ,Sun Jul 26 02:00:00 CEST 2015, Time: ,Sun Jul 26 02:00:00 CEST 2015, Event: ,Lauzon v Gomi, Favorite: ,Joe Lauzon, 4369446   size:2.77,Price: ,1.34,Takanori Gomi, 4597763   size:5.0,Price: ,3.6,ok
1.119609350, Sport: ,Soccer, Time: ,Sat Jul 25 22:00:00 CEST 2015, Time: ,Sat Jul 25 22:00:00 CEST 2015, Event: ,Sporting Cristal v Uni San Martin, Favorite: ,Sporting Cristal, 328696   size:43.47,Price: ,1.65,The Draw, 58805   size:9.74,Price: ,4.2,Uni San Martin, 2032055   size:36.25,Price: ,5.9,ok
1.119515353, Sport: ,Soccer, Time: ,Sat Jul 25 20:00:00 CEST 2015, Time: ,Sat Jul 25 20:00:00 CEST 2015, Event: ,Genk v Oud-Heverlee Leuven, Favorite: ,Genk, 14072   size:129.85,Price: ,1.58,The Draw, 58805   size:183.17,Price: ,4.4,Oud-Heverlee Leuven, 1311877   size:3.57,Price: ,7.0,ok
1.119610616, Sport: ,Soccer, Time: ,Sat Jul 25 20:00:00 CEST 2015, Time: ,Sat Jul 25 20:00:00 CEST 2015, Event: ,Gimnasia La Plata v Crucero del Norte, Favorite: ,Gimnasia La Plata, 1213581   size:621.86,Price: ,1.46,The Draw, 58805   size:200.3,Price: ,4.6,Crucero del Norte, 6471163   size:5.32,Price: ,9.6,ok
1.119684942, Sport: ,Tennis, Time: ,Sat Jul 25 20:30:00 CEST 2015, Time: ,Sat Jul 25 20:30:00 CEST 2015, Event: ,Edmund v Bangoura, Favorite: ,Kyle Edmund, 5626817   size:6.22,Price: ,1.26,Sekou Bangoura, 7066127   size:18.51,Price: ,4.2,ok
