1.122340739, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Portsmouth v Luton, Favorite: ,Portsmouth, 58344   size:32.54,Price: ,1.72,Luton, 223467   size:43.81,Price: ,5.6,The Draw, 58805   size:211.02,Price: ,4.0,x
1.122336242, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Barwell v Mickleover Sports, Favorite: ,Barwell, 4597907   size:27.26,Price: ,1.53,Mickleover Sports, 7886720   size:9.09,Price: ,4.0,The Draw, 58805   size:9.73,Price: ,3.8,x
1.122366606, Sport: ,Basketball, Time: ,Sun Dec 27 21:00:00 CET 2015, Time: ,Sun Dec 27 21:00:00 CET 2015, Event: ,Murcia v Rio Natura Monbus, Favorite: ,Murcia, 2111197   size:287.0,Price: ,1.35,Rio Natura Monbus, 7833774   size:116.0,Price: ,3.15,ok
1.122309497, Sport: ,Ice Hockey, Time: ,Sun Dec 27 23:00:00 CET 2015, Time: ,Sun Dec 27 23:00:00 CET 2015, Event: ,Boston @ Ottawa, Favorite: ,Boston, 2112316   size:7.3,Price: ,2.52,Ottawa, 2108072   size:5.38,Price: ,2.76,Tie, 60104   size:5.27,Price: ,3.85,x
1.122385249, Sport: ,Ice Hockey, Time: ,Mon Dec 28 18:30:00 CET 2015, Time: ,Mon Dec 28 18:30:00 CET 2015, Event: ,Lorenskog v Stjernen, Favorite: ,Stjernen, 61434   size:13.7,Price: ,1.04,Lorenskog, 61424   size:9.13,Price: ,1.06,Tie, 60104   size:5.94,Price: ,1.24,x
1.122336992, Sport: ,Soccer, Time: ,Mon Dec 28 13:30:00 CET 2015, Time: ,Mon Dec 28 13:30:00 CET 2015, Event: ,Grimsby v Lincoln, Favorite: ,Grimsby, 48001   size:52.03,Price: ,1.58,Lincoln, 148737   size:53.11,Price: ,6.4,The Draw, 58805   size:61.82,Price: ,4.6,ok
1.122340217, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Mansfield v York City, Favorite: ,Mansfield, 69716   size:18.67,Price: ,1.71,York City, 256226   size:88.2,Price: ,5.8,The Draw, 58805   size:196.12,Price: ,3.9,x
1.122341666, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Preston v Hull, Favorite: ,Hull, 70385   size:707.96,Price: ,2.34,Preston, 56295   size:73.6,Price: ,3.65,The Draw, 58805   size:827.29,Price: ,3.25,x
1.122339743, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Cambridge Utd v Barnet, Favorite: ,Cambridge Utd, 256400   size:120.09,Price: ,2.2,Barnet, 1165   size:16.83,Price: ,3.5,The Draw, 58805   size:25.62,Price: ,3.8,ok
1.122385407, Sport: ,Ice Hockey, Time: ,Mon Dec 28 18:30:00 CET 2015, Time: ,Mon Dec 28 18:30:00 CET 2015, Event: ,Sparta Sarpsborg v Manglerud, Favorite: ,Sparta Sarpsborg, 61430   size:235.02,Price: ,1.29,Manglerud, 61084   size:18.0,Price: ,1.76,Tie, 60104   size:8.96,Price: ,8.6,ok
