1.121488627, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Fleet Town FC v Hanwell Town FC, Favorite: ,Fleet Town FC, 8105136   size:10.98,Price: ,1.17,Hanwell Town FC, 10461804   size:10.97,Price: ,1.17,The Draw, 58805   size:5.0,Price: ,2.9
1.121366798, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Morton v St Johnstone, Favorite: ,St Johnstone, 57425   size:24.96,Price: ,1.65,Morton, 46283   size:2.16,Price: ,5.9,The Draw, 58805   size:25.3,Price: ,4.1
1.121488682, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Swindon Supermarine v Cinderford, Favorite: ,Swindon Supermarine, 3491518   size:10.98,Price: ,1.17,Cinderford, 8716284   size:10.98,Price: ,1.17,The Draw, 58805   size:8.32,Price: ,2.88
1.121364521, Sport: ,Soccer, Time: ,Tue Oct 27 21:00:00 CET 2015, Time: ,Tue Oct 27 21:00:00 CET 2015, Event: ,SC Bastia v Rennes, Favorite: ,Rennes, 44799   size:58.35,Price: ,2.48,SC Bastia, 7534982   size:101.52,Price: ,3.4,The Draw, 58805   size:566.38,Price: ,3.2
1.121499967, Sport: ,Basketball, Time: ,Tue Oct 27 21:15:00 CET 2015, Time: ,Tue Oct 27 21:15:00 CET 2015, Event: ,Gran Canaria v Brindisi, Favorite: ,Gran Canaria, 945506   size:3.43,Price: ,1.13,Brindisi, 6697864   size:8.68,Price: ,7.0
1.121479748, Sport: ,Soccer, Time: ,Tue Oct 27 21:30:00 CET 2015, Time: ,Tue Oct 27 21:30:00 CET 2015, Event: ,Leon de Huanuco v Universitario, Favorite: ,Leon de Huanuco, 5176230   size:11.88,Price: ,2.38,Universitario, 330229   size:22.12,Price: ,3.25,The Draw, 58805   size:9.33,Price: ,3.5
1.121485483, Sport: ,Tennis, Time: ,Tue Oct 27 22:15:00 CET 2015, Time: ,Tue Oct 27 22:15:00 CET 2015, Event: ,Estrella Burgos v A Tsuchiya, Favorite: ,Victor Estrella Burgos, 7430580   size:182.85,Price: ,1.06,Alexandre Tsuchiya, 8326666   size:23.48,Price: ,13.0
1.121475263, Sport: ,Tennis, Time: ,Tue Oct 27 19:26:00 CET 2015, Time: ,Tue Oct 27 19:26:00 CET 2015, Event: ,Hach Verdugo v D Novikov, Favorite: ,Dennis Novikov, 6217982   size:1014.32,Price: ,1.19,Hans Hach Verdugo, 8258567   size:82.81,Price: ,5.4
1.121475295, Sport: ,Tennis, Time: ,Tue Oct 27 19:49:00 CET 2015, Time: ,Tue Oct 27 19:49:00 CET 2015, Event: ,Struvay v Samper-Montana, Favorite: ,Jordi Samper-Montana, 8258998   size:91.26,Price: ,1.68,Eduardo Struvay, 7431682   size:126.23,Price: ,2.4
1.121500660, Sport: ,Basketball, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Den Bosch v Zlatorog Lasko, Favorite: ,Zlatorog Lasko, 6092371   size:71.91,Price: ,1.63,Den Bosch, 2586043   size:3.99,Price: ,2.0
