1.121560772, Sport: ,Soccer, Time: ,Sat Oct 31 14:00:00 CET 2015, Time: ,Sat Oct 31 14:00:00 CET 2015, Event: ,Legionovia v Stal Stalowa Wola, Favorite: ,Stal Stalowa Wola, 2618038   size:13.23,Price: ,2.38,Legionovia, 10064502   size:13.2,Price: ,2.4,The Draw, 58805   size:22.62,Price: ,2.94,x
1.121479445, Sport: ,Rugby Union, Time: ,Sat Oct 31 15:00:00 CET 2015, Time: ,Sat Oct 31 15:00:00 CET 2015, Event: ,Gloucester v Worcester, Favorite: ,Gloucester, 168   size:64.99,Price: ,1.16,Worcester, 283308   size:111.93,Price: ,5.4,Draw, 246289   size:21.19,Price: ,25.0,ok
1.121561342, Sport: ,Soccer, Time: ,Sat Oct 31 17:45:00 CET 2015, Time: ,Sat Oct 31 17:45:00 CET 2015, Event: ,Al Arabi v Al Sadd (QAT), Favorite: ,Al Sadd (QAT), 4525676   size:14.29,Price: ,2.08,Al Arabi, 3922362   size:15.09,Price: ,2.32,The Draw, 58805   size:14.44,Price: ,3.15,x
1.121560496, Sport: ,Soccer, Time: ,Sat Oct 31 19:00:00 CET 2015, Time: ,Sat Oct 31 19:00:00 CET 2015, Event: ,Flamengo U20 v Sao Caetano U20, Favorite: ,Flamengo U20, 6006854   size:4.15,Price: ,1.07,Sao Caetano U20, 9465221   size:4.15,Price: ,1.07,The Draw, 58805   size:5.6,Price: ,2.88,ok
1.121603526, Sport: ,Tennis, Time: ,Sat Oct 31 18:45:00 CET 2015, Time: ,Sat Oct 31 18:45:00 CET 2015, Event: ,D Young v K De Schepper, Favorite: ,Donald Young, 2345091   size:2.55,Price: ,1.6,Kenny De Schepper, 5617034   size:28.25,Price: ,2.24,x
1.121603522, Sport: ,Tennis, Time: ,Sat Oct 31 10:00:00 CET 2015, Time: ,Sat Oct 31 10:00:00 CET 2015, Event: ,R Haase v Struff, Favorite: ,Robin Haase, 2309796   size:2.55,Price: ,1.83,Jan-Lennard Struff, 8259098   size:2.55,Price: ,1.91,x
1.121492879, Sport: ,Soccer, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Olimpia Grudziadz v GKS Belchatow, Favorite: ,Olimpia Grudziadz, 4135268   size:7.98,Price: ,2.28,GKS Belchatow, 1209554   size:5.71,Price: ,3.35,The Draw, 58805   size:2.55,Price: ,3.35,x
1.121404146, Sport: ,Soccer, Time: ,Sat Oct 31 08:00:00 CET 2015, Time: ,Sat Oct 31 08:00:00 CET 2015, Event: ,Beijing Guoan v Guangzhou FC, Favorite: ,Guangzhou FC, 5723376   size:17.52,Price: ,2.22,Beijing Guoan, 2955487   size:3.09,Price: ,3.6,The Draw, 58805   size:4.0,Price: ,3.5,ok
1.121405110, Sport: ,Soccer, Time: ,Sat Oct 31 14:00:00 CET 2015, Time: ,Sat Oct 31 14:00:00 CET 2015, Event: ,Mainz II v Osnabruck, Favorite: ,Mainz II, 5390772   size:47.39,Price: ,2.4,Osnabruck, 67187   size:22.0,Price: ,3.2,The Draw, 58805   size:21.08,Price: ,3.35,x
1.121364299, Sport: ,Soccer, Time: ,Sat Oct 31 14:00:00 CET 2015, Time: ,Sat Oct 31 14:00:00 CET 2015, Event: ,SG Sonnenhof v Cottbus, Favorite: ,SG Sonnenhof, 4069229   size:280.19,Price: ,1.95,Cottbus, 204683   size:91.63,Price: ,4.3,The Draw, 58805   size:128.34,Price: ,3.55,x
