1.121225462, Sport: ,Tennis, Time: ,Thu Oct 15 06:00:00 CEST 2015, Time: ,Thu Oct 15 06:00:00 CEST 2015, Event: ,Lertpitaksinch/Plipuech v Jans-Ignacik/Rodionova, Favorite: ,Jans-Ignacik/Rodionova, 10302166   size:70.23,Price: ,1.26,Lertpitaksinch/Plipuech, 9220478   size:53.75,Price: ,3.45,ok
1.121115053, Sport: ,Ice Hockey, Time: ,Thu Oct 15 04:35:00 CEST 2015, Time: ,Thu Oct 15 04:35:00 CEST 2015, Event: ,Arizona @ Anaheim, Favorite: ,Anaheim, 60109   size:2.6,Price: ,1.69,Arizona, 8867880   size:4.43,Price: ,3.35,Tie, 60104   size:111.0,Price: ,4.0,x
1.121113797, Sport: ,Ice Hockey, Time: ,Wed Oct 14 19:00:00 CEST 2015, Time: ,Wed Oct 14 19:00:00 CEST 2015, Event: ,Asploven v Bjorkloven, Favorite: ,Bjorkloven, 247108   size:80.07,Price: ,2.16,Asploven, 3746027   size:7.37,Price: ,2.98,Tie, 60104   size:22.58,Price: ,3.95,x
1.121224417, Sport: ,Tennis, Time: ,Wed Oct 14 12:00:00 CEST 2015, Time: ,Wed Oct 14 12:00:00 CEST 2015, Event: ,L Ouahab v de Bakker, Favorite: ,Thiemo De Bakker, 8720949   size:3.5,Price: ,1.43,Lamine Ouahab, 3052816   size:54.32,Price: ,2.44,ok
1.121111136, Sport: ,Soccer, Time: ,Wed Oct 14 19:00:00 CEST 2015, Time: ,Wed Oct 14 19:00:00 CEST 2015, Event: ,RB Leipzig II v FSV Zwickau, Favorite: ,FSV Zwickau, 6495178   size:180.7,Price: ,1.71,RB Leipzig II, 10003036   size:82.37,Price: ,5.1,The Draw, 58805   size:2.67,Price: ,4.0,x
1.121224135, Sport: ,Tennis, Time: ,Wed Oct 14 09:00:00 CEST 2015, Time: ,Wed Oct 14 09:00:00 CEST 2015, Event: ,Fognini v K Anderson, Favorite: ,Kevin Anderson, 2519549   size:2784.26,Price: ,1.52,Fabio Fognini, 2319544   size:56.67,Price: ,2.84,ok
1.121227802, Sport: ,Tennis, Time: ,Wed Oct 14 20:00:00 CEST 2015, Time: ,Wed Oct 14 20:00:00 CEST 2015, Event: ,Mitu v Friedsam, Favorite: ,Anna-Lena Friedsam, 7593369   size:282.91,Price: ,1.45,Andreea Mitu, 7289592   size:59.41,Price: ,3.05,ok
1.121225192, Sport: ,Tennis, Time: ,Thu Oct 15 06:00:00 CEST 2015, Time: ,Thu Oct 15 06:00:00 CEST 2015, Event: ,Tsonga v Ramos-Vinolas, Favorite: ,Jo-Wilfried Tsonga, 4190307   size:30202.39,Price: ,1.11,Albert Ramos-Vinolas, 8621877   size:20.38,Price: ,9.0,ok
1.121231751, Sport: ,Tennis, Time: ,Wed Oct 14 23:30:00 CEST 2015, Time: ,Wed Oct 14 23:30:00 CEST 2015, Event: ,Rola v L Broady, Favorite: ,Blaz Rola, 8174357   size:3.07,Price: ,1.08,Liam Broady, 5626816   size:5.7,Price: ,1.12,ok
1.121189271, Sport: ,Basketball, Time: ,Wed Oct 14 18:00:00 CEST 2015, Time: ,Wed Oct 14 18:00:00 CEST 2015, Event: ,PAOK v Szolnoki Olaj, Favorite: ,PAOK, 281533   size:10.5,Price: ,1.28,Szolnoki Olaj, 5957089   size:13.99,Price: ,3.95,ok
