1.119699816, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Portimonense v Aves, Favorite: ,Portimonense, 505982   size:15.29,Price: ,2.28,The Draw, 58805   size:8.1,Price: ,3.35,Aves, 505958   size:11.69,Price: ,3.4,ok
1.119665151, Sport: ,Soccer, Time: ,Sun Aug 02 16:00:00 CEST 2015, Time: ,Sun Aug 02 16:00:00 CEST 2015, Event: ,Palmeiras v Atletico PR, Favorite: ,Palmeiras, 189952   size:63.06,Price: ,1.52,The Draw, 58805   size:2.99,Price: ,4.5,Atletico PR, 442159   size:13.93,Price: ,7.6,x
1.119807394, Sport: ,Soccer, Time: ,Sun Aug 02 21:00:00 CEST 2015, Time: ,Sun Aug 02 21:00:00 CEST 2015, Event: ,Union Espanola v Union San Felipe, Favorite: ,Union Espanola, 1388376   size:2.57,Price: ,1.51,The Draw, 58805   size:18.89,Price: ,3.6,Union San Felipe, 4966011   size:9.7,Price: ,5.7,ok
1.119819004, Sport: ,Tennis, Time: ,Sun Aug 02 20:30:00 CEST 2015, Time: ,Sun Aug 02 20:30:00 CEST 2015, Event: ,Doi v Boserup, Favorite: ,Misaki Doi, 4729711   size:2.86,Price: ,1.36,Julia Boserup, 3738415   size:5.9,Price: ,3.2,ok
1.119818953, Sport: ,Tennis, Time: ,Sun Aug 02 19:00:00 CEST 2015, Time: ,Sun Aug 02 19:00:00 CEST 2015, Event: ,Crawford v Hibino, Favorite: ,Nao Hibino, 7683152   size:2.13,Price: ,1.33,Samantha Crawford, 6603928   size:6.28,Price: ,3.05,ok
1.119800951, Sport: ,Soccer, Time: ,Sun Aug 02 21:00:00 CEST 2015, Time: ,Sun Aug 02 21:00:00 CEST 2015, Event: ,Defensores de Belgrano v CA Union de Sunchales, Favorite: ,Defensores de Belgrano, 5643646   size:5.0,Price: ,1.22,The Draw, 58805   size:10.0,Price: ,1.57,CA Union de Sunchales, 10103811   size:5.0,Price: ,2.12,ok
1.119663716, Sport: ,Soccer, Time: ,Sun Aug 02 17:45:00 CEST 2015, Time: ,Sun Aug 02 17:45:00 CEST 2015, Event: ,Porto v Stoke, Favorite: ,Porto, 48785   size:63.58,Price: ,1.79,The Draw, 58805   size:22.67,Price: ,3.85,Stoke, 69720   size:6.84,Price: ,5.4,ok
1.119741378, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Estudiantes de San Luis v Douglas Haig, Favorite: ,Estudiantes de San Luis, 9229724   size:10.23,Price: ,2.44,The Draw, 58805   size:7.05,Price: ,2.96,Douglas Haig, 6570644   size:9.98,Price: ,3.55,x
1.119659578, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,Rynninge v IK Gauthiod, Favorite: ,IK Gauthiod, 6290360   size:4.06,Price: ,2.2,Rynninge, 384092   size:3.41,Price: ,2.62,The Draw, 58805   size:3.54,Price: ,3.5,ok
1.119815091, Sport: ,Soccer, Time: ,Sun Aug 02 19:00:00 CEST 2015, Time: ,Sun Aug 02 19:00:00 CEST 2015, Event: ,Municipal Liberia v UCR, Favorite: ,The Draw, 58805   size:3.17,Price: ,1.25,Municipal Liberia, 7248303   size:12.35,Price: ,2.32,UCR, 10106049   size:9.71,Price: ,2.7,x
1.119711281, Sport: ,Baseball, Time: ,Sun Aug 02 20:10:00 CEST 2015, Time: ,Sun Aug 02 20:10:00 CEST 2015, Event: ,SEA @ MIN, Favorite: ,Seattle (H Iwakuma), 6482564   size:269.99,Price: ,1.81,Minnesota (M Pelfrey), 7177264   size:217.16,Price: ,2.2,ok
