1.121866305, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Real Union v Fuenlabrada, Favorite: ,Real Union, 247970   size:90.41,Price: ,1.71,Fuenlabrada, 2250336   size:2.55,Price: ,5.3,The Draw, 58805   size:2.83,Price: ,3.7,ok
1.121778642, Sport: ,Soccer, Time: ,Sat Nov 21 13:30:00 CET 2015, Time: ,Sat Nov 21 13:30:00 CET 2015, Event: ,MFK Karvina v Znojmo, Favorite: ,MFK Karvina, 3358864   size:2.55,Price: ,1.65,Znojmo, 4142628   size:10.0,Price: ,3.9,The Draw, 58805   size:6.42,Price: ,3.8,ok
1.121796076, Sport: ,Soccer, Time: ,Sat Nov 21 15:00:00 CET 2015, Time: ,Sat Nov 21 15:00:00 CET 2015, Event: ,Perugia v Brescia, Favorite: ,Perugia, 215828   size:435.81,Price: ,2.04,Brescia, 7407   size:78.58,Price: ,4.5,The Draw, 58805   size:302.43,Price: ,3.35,ok
1.121938534, Sport: ,Soccer, Time: ,Sat Nov 21 13:00:00 CET 2015, Time: ,Sat Nov 21 13:00:00 CET 2015, Event: ,Vorskla v Hoverla, Favorite: ,Vorskla, 2017721   size:2.23,Price: ,1.55,Hoverla, 7397538   size:16.25,Price: ,6.8,The Draw, 58805   size:10.75,Price: ,3.85,ok
1.121912003, Sport: ,Soccer, Time: ,Sat Nov 21 10:00:00 CET 2015, Time: ,Sat Nov 21 10:00:00 CET 2015, Event: ,Targoviste v CS Mioveni, Favorite: ,Targoviste, 6803067   size:2.42,Price: ,2.4,CS Mioveni, 5525359   size:7.06,Price: ,2.74,The Draw, 58805   size:7.7,Price: ,3.6,ok
1.121855888, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Bytovia Bytow v Sandecja Nowy Sacz, Favorite: ,Bytovia Bytow, 5876553   size:6.84,Price: ,2.06,Sandecja Nowy Sacz, 4553548   size:2.55,Price: ,3.8,The Draw, 58805   size:7.0,Price: ,3.5,ok
1.121910064, Sport: ,Soccer, Time: ,Sat Nov 21 16:30:00 CET 2015, Time: ,Sat Nov 21 16:30:00 CET 2015, Event: ,Al Sharjah v Emirates Club, Favorite: ,Emirates Club, 5305983   size:5.0,Price: ,1.83,Al Sharjah, 3607226   size:5.0,Price: ,1.94,The Draw, 58805   size:12.5,Price: ,2.9,ok
1.121911394, Sport: ,Soccer, Time: ,Sat Nov 21 10:00:00 CET 2015, Time: ,Sat Nov 21 10:00:00 CET 2015, Event: ,Dunarea Calarasi v Otelul Galati, Favorite: ,Dunarea Calarasi, 10238185   size:5.0,Price: ,1.34,Otelul Galati, 866238   size:2.78,Price: ,6.8,The Draw, 58805   size:3.65,Price: ,5.0,ok
1.121800892, Sport: ,Soccer, Time: ,Sat Nov 21 13:00:00 CET 2015, Time: ,Sat Nov 21 13:00:00 CET 2015, Event: ,Chernomorets Odesa v Dnipro, Favorite: ,Dnipro, 50345   size:75.94,Price: ,1.37,Chernomorets Odesa, 7430526   size:3.06,Price: ,5.6,The Draw, 58805   size:5.0,Price: ,4.9,x
1.121856736, Sport: ,Darts, Time: ,Sat Nov 21 15:15:00 CET 2015, Time: ,Sat Nov 21 15:15:00 CET 2015, Event: ,Michael Smith v Mark Webster, Favorite: ,Michael Smith, 3066962   size:2.55,Price: ,1.61,Mark Webster, 2409763   size:2.55,Price: ,2.38,x
1.121913211, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Espanyol (W) v Barcelona (W), Favorite: ,Barcelona (W), 5226501   size:8.45,Price: ,1.04,Espanyol (W), 5226488   size:3.68,Price: ,3.1,The Draw, 58805   size:13.69,Price: ,2.88,x
1.121912002, Sport: ,Soccer, Time: ,Sat Nov 21 16:15:00 CET 2015, Time: ,Sat Nov 21 16:15:00 CET 2015, Event: ,Naxxar Lions FC v Birkirkara, Favorite: ,Naxxar Lions FC, 7438217   size:40.95,Price: ,1.1,Birkirkara, 46922   size:9.14,Price: ,1.11,The Draw, 58805   size:13.19,Price: ,2.88,x
1.121785290, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Notts Co v Northampton, Favorite: ,Notts Co, 486328   size:324.0,Price: ,2.3,Northampton, 5034   size:78.45,Price: ,3.25,The Draw, 58805   size:76.37,Price: ,3.6,x
1.121739559, Sport: ,Soccer, Time: ,Sat Nov 21 15:30:00 CET 2015, Time: ,Sat Nov 21 15:30:00 CET 2015, Event: ,Eintracht Frankfurt v Leverkusen, Favorite: ,Leverkusen, 44787   size:21.51,Price: ,1.92,Eintracht Frankfurt, 347774   size:83.19,Price: ,4.4,The Draw, 58805   size:152.81,Price: ,3.9,ok
1.121778418, Sport: ,Soccer, Time: ,Sat Nov 21 11:00:00 CET 2015, Time: ,Sat Nov 21 11:00:00 CET 2015, Event: ,USM Blida U21 v CR Belouizdad U21, Favorite: ,USM Blida U21, 8166578   size:18.0,Price: ,1.11,CR Belouizdad U21, 7899378   size:18.0,Price: ,1.11,The Draw, 58805   size:18.0,Price: ,1.32,x
1.121800534, Sport: ,Soccer, Time: ,Sat Nov 21 20:00:00 CET 2015, Time: ,Sat Nov 21 20:00:00 CET 2015, Event: ,Luzern v Thun, Favorite: ,Luzern, 65784   size:3.1,Price: ,1.82,Thun, 176184   size:15.76,Price: ,4.8,The Draw, 58805   size:319.21,Price: ,4.0,ok
1.121780724, Sport: ,Soccer, Time: ,Sat Nov 21 14:00:00 CET 2015, Time: ,Sat Nov 21 14:00:00 CET 2015, Event: ,Wurzburger Kickers v Cottbus, Favorite: ,Wurzburger Kickers, 6516913   size:43.51,Price: ,1.97,Cottbus, 204683   size:114.69,Price: ,4.3,The Draw, 58805   size:31.28,Price: ,3.55,x
