1.121920432, Sport: ,Handball, Time: ,Sun Nov 22 17:30:00 CET 2015, Time: ,Sun Nov 22 17:30:00 CET 2015, Event: ,Tremblay v Montpellier, Favorite: ,Montpellier, 3379953   size:18.32,Price: ,1.23,Tremblay, 4292471   size:3.75,Price: ,6.0,Draw, 330157   size:38.72,Price: ,11.5,ok
1.121789669, Sport: ,Soccer, Time: ,Sun Nov 22 20:00:00 CET 2015, Time: ,Sun Nov 22 20:00:00 CET 2015, Event: ,Joinville v Vasco da Gama, Favorite: ,Vasco da Gama, 784535   size:190.94,Price: ,2.66,Joinville, 5259406   size:332.45,Price: ,2.9,The Draw, 58805   size:143.41,Price: ,3.55,ok
1.121941251, Sport: ,Soccer, Time: ,Sun Nov 22 22:00:00 CET 2015, Time: ,Sun Nov 22 22:00:00 CET 2015, Event: ,CD Dragon v Alianza FC, Favorite: ,CD Dragon, 8467366   size:7.04,Price: ,2.38,Alianza FC, 5698496   size:2.55,Price: ,2.56,The Draw, 58805   size:58.6,Price: ,3.1,x
1.121940975, Sport: ,Soccer, Time: ,Sun Nov 22 22:30:00 CET 2015, Time: ,Sun Nov 22 22:30:00 CET 2015, Event: ,Santos de Guapiles v Deportivo Saprissa, Favorite: ,Deportivo Saprissa, 1328422   size:3.52,Price: ,2.2,Santos de Guapiles, 10135629   size:12.56,Price: ,3.6,The Draw, 58805   size:4.3,Price: ,3.5,ok
1.121943206, Sport: ,Soccer, Time: ,Sun Nov 22 21:00:00 CET 2015, Time: ,Sun Nov 22 21:00:00 CET 2015, Event: ,Union Atletico Falcon v Madeira FC, Favorite: ,Union Atletico Falcon, 9989662   size:8.45,Price: ,1.04,Madeira FC, 10450291   size:8.45,Price: ,1.04,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121937567, Sport: ,Basketball, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,Kapfenberg v Wels, Favorite: ,Kapfenberg, 7036688   size:42.0,Price: ,1.59,Wels, 7036691   size:49.74,Price: ,2.52,ok
1.121937568, Sport: ,Basketball, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Oberwart v Traiskirchen, Favorite: ,Oberwart, 7036690   size:2.85,Price: ,1.03,Traiskirchen, 1387301   size:2.85,Price: ,1.03,ok
1.121942478, Sport: ,Soccer, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,CSD Municipal v CSD Comunicaciones, Favorite: ,CSD Municipal, 2888930   size:2.44,Price: ,1.73,CSD Comunicaciones, 4109938   size:2.88,Price: ,3.15,The Draw, 58805   size:2.36,Price: ,2.92,x
1.121920544, Sport: ,Volleyball, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,Bene Scandicci v Bisonte San Casciano, Favorite: ,Bene Scandicci, 10381550   size:7.33,Price: ,1.33,Bisonte San Casciano, 10381551   size:63.92,Price: ,3.3,ok
1.121920543, Sport: ,Volleyball, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Minetti Vicenza v Volley Bergamo, Favorite: ,Minetti Vicenza, 10381561   size:2.85,Price: ,1.03,Volley Bergamo, 3416141   size:2.85,Price: ,1.03,ok
1.121947485, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Sanluqueno v Conil, Favorite: ,Sanluqueno, 6603998   size:6.49,Price: ,1.03,Conil, 9315718   size:6.49,Price: ,1.03,The Draw, 58805   size:6.49,Price: ,1.03,ok
1.121817641, Sport: ,Soccer, Time: ,Mon Nov 23 06:00:00 CET 2015, Time: ,Mon Nov 23 06:00:00 CET 2015, Event: ,Yokohama FC v Thespakusatsu Gunma, Favorite: ,Yokohama FC, 2319612   size:15.26,Price: ,2.4,Thespakusatsu Gunma, 7078090   size:132.06,Price: ,3.35,The Draw, 58805   size:43.87,Price: ,3.25,ok
1.121812192, Sport: ,Soccer, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,AGF v Brondby, Favorite: ,Brondby, 28223   size:45.6,Price: ,2.36,AGF, 28214   size:191.92,Price: ,3.4,The Draw, 58805   size:214.1,Price: ,3.5,x
