1.122450462, Sport: ,Tennis, Time: ,Mon Jan 04 08:45:00 CET 2016, Time: ,Mon Jan 04 08:45:00 CET 2016, Event: ,Kravchuk v Benjasupawan, Favorite: ,Konstantin Kravchuk, 5011822   size:35.36,Price: ,1.03,Nattan Benjasupawan, 8795649   size:5.53,Price: ,16.5,ok
1.122450340, Sport: ,Tennis, Time: ,Mon Jan 04 02:45:00 CET 2016, Time: ,Mon Jan 04 02:45:00 CET 2016, Event: ,M Krueger v Falla, Favorite: ,Alejandro Falla, 2284300   size:27.98,Price: ,1.41,Mitchell Krueger, 6603910   size:63.42,Price: ,3.0,ok
1.122450463, Sport: ,Tennis, Time: ,Mon Jan 04 07:00:00 CET 2016, Time: ,Mon Jan 04 07:00:00 CET 2016, Event: ,Burapharitta v Coppejans, Favorite: ,Kimmer Coppejans, 7364095   size:33.87,Price: ,1.03,Phassawit Burapharitta, 8796341   size:5.53,Price: ,16.5,ok
1.122452002, Sport: ,Basketball, Time: ,Mon Jan 04 18:30:00 CET 2016, Time: ,Mon Jan 04 18:30:00 CET 2016, Event: ,Horsens v Randers, Favorite: ,Horsens, 6719071   size:3.29,Price: ,1.03,Randers, 6719073   size:3.29,Price: ,1.03,ok
1.122454942, Sport: ,Soccer, Time: ,Mon Jan 04 16:45:00 CET 2016, Time: ,Mon Jan 04 16:45:00 CET 2016, Event: ,Al Wasl v Al Ahli (UAE), Favorite: ,Al Ahli (UAE), 4525658   size:68.7,Price: ,1.99,Al Wasl, 3618587   size:5.0,Price: ,2.76,The Draw, 58805   size:34.01,Price: ,3.45,x
1.122450348, Sport: ,Tennis, Time: ,Mon Jan 04 01:00:00 CET 2016, Time: ,Mon Jan 04 01:00:00 CET 2016, Event: ,Janvier v N'Godrela, Favorite: ,Maxime Janvier, 8257852   size:2.16,Price: ,1.03,Nicolas N'Godrela, 9125184   size:16.08,Price: ,3.55,ok
1.122451559, Sport: ,Tennis, Time: ,Mon Jan 04 14:15:00 CET 2016, Time: ,Mon Jan 04 14:15:00 CET 2016, Event: ,Coric v M Granollers, Favorite: ,Borna Coric, 7446579   size:55.25,Price: ,1.52,Marcel Granollers, 3035263   size:11.25,Price: ,2.8,ok
1.122459081, Sport: ,Tennis, Time: ,Mon Jan 04 07:00:00 CET 2016, Time: ,Mon Jan 04 07:00:00 CET 2016, Event: ,K Zhang v Diyas, Favorite: ,Zarina Diyas, 4045175   size:148.53,Price: ,1.63,Kai-Lin Zhang, 8710301   size:54.0,Price: ,2.42,ok
1.122450308, Sport: ,Tennis, Time: ,Mon Jan 04 01:00:00 CET 2016, Time: ,Mon Jan 04 01:00:00 CET 2016, Event: ,McGee v Barrere, Favorite: ,James McGee, 7216252   size:5.0,Price: ,1.55,Gregoire Barrere, 8842295   size:4.52,Price: ,2.54,ok
1.122360983, Sport: ,American Football, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,Washington @ Dallas, Favorite: ,Washington Redkins, 10650295   size:34.78,Price: ,1.1,Dallas Cowboys, 50189   size:11.0,Price: ,2.2,ok
