1.121989965, Sport: ,Basketball, Time: ,Fri Nov 27 21:00:00 CET 2015, Time: ,Fri Nov 27 21:00:00 CET 2015, Event: ,San Pablo Inmobiliaria v Castello, Favorite: ,San Pablo Inmobiliaria, 10396896   size:2.84,Price: ,1.03,Castello, 10370944   size:2.84,Price: ,1.03,x
1.121985920, Sport: ,Ice Hockey, Time: ,Fri Nov 27 17:30:00 CET 2015, Time: ,Fri Nov 27 17:30:00 CET 2015, Event: ,Chomutov v Kometa Brno, Favorite: ,Chomutov, 4645019   size:64.43,Price: ,2.22,Kometa Brno, 3304802   size:8.48,Price: ,2.76,Tie, 60104   size:15.0,Price: ,4.6,ok
1.121970007, Sport: ,American Football, Time: ,Fri Nov 27 22:00:00 CET 2015, Time: ,Fri Nov 27 22:00:00 CET 2015, Event: ,Oregon State @ Oregon, Favorite: ,Oregon, 547399   size:20.22,Price: ,1.01,Oregon State, 661960   size:2.74,Price: ,16.5,ok
1.121970004, Sport: ,American Football, Time: ,Fri Nov 27 18:00:00 CET 2015, Time: ,Fri Nov 27 18:00:00 CET 2015, Event: ,Navy @ Houston, Favorite: ,Navy, 662039   size:6.88,Price: ,1.61,Houston, 87483   size:2.32,Price: ,2.24,x
1.121985928, Sport: ,Ice Hockey, Time: ,Fri Nov 27 17:30:00 CET 2015, Time: ,Fri Nov 27 17:30:00 CET 2015, Event: ,Mlada Boleslav v Plzen, Favorite: ,Mlada Boleslav, 3327988   size:65.87,Price: ,2.08,Plzen, 563267   size:16.72,Price: ,2.9,Tie, 60104   size:7.76,Price: ,4.6,x
1.121884668, Sport: ,Soccer, Time: ,Fri Nov 27 20:00:00 CET 2015, Time: ,Fri Nov 27 20:00:00 CET 2015, Event: ,AC Ajaccio v Lens, Favorite: ,AC Ajaccio, 8720753   size:17.57,Price: ,2.62,Lens, 44793   size:20.87,Price: ,3.25,The Draw, 58805   size:665.06,Price: ,3.1,x
1.121889556, Sport: ,Soccer, Time: ,Fri Nov 27 16:00:00 CET 2015, Time: ,Fri Nov 27 16:00:00 CET 2015, Event: ,MO Bejaia v DRB Tadjenanet, Favorite: ,MO Bejaia, 8300127   size:4.86,Price: ,1.65,DRB Tadjenanet, 10341161   size:50.29,Price: ,4.0,The Draw, 58805   size:4.07,Price: ,3.25,ok
1.121992331, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:00:00 CET 2015, Time: ,Fri Nov 27 19:00:00 CET 2015, Event: ,Vasteras v Tingsryd, Favorite: ,Vasteras, 316429   size:3.56,Price: ,1.85,Tingsryd, 5877522   size:9.14,Price: ,3.5,Tie, 60104   size:54.61,Price: ,4.0,ok
1.121976530, Sport: ,Basketball, Time: ,Fri Nov 27 11:00:00 CET 2015, Time: ,Fri Nov 27 11:00:00 CET 2015, Event: ,KEB Hanabank v KB Stars, Favorite: ,KEB Hanabank, 8118828   size:127.0,Price: ,1.59,KB Stars, 6739926   size:52.99,Price: ,2.42,x
1.122000095, Sport: ,Soccer, Time: ,Sat Nov 28 00:30:00 CET 2015, Time: ,Sat Nov 28 00:30:00 CET 2015, Event: ,Defensor Sporting v River Plate (Uru), Favorite: ,Defensor Sporting, 1222679   size:2.43,Price: ,2.06,River Plate (Uru), 3206731   size:5.6,Price: ,3.4,The Draw, 58805   size:3.98,Price: ,3.45,x
1.122005301, Sport: ,Soccer, Time: ,Fri Nov 27 12:00:00 CET 2015, Time: ,Fri Nov 27 12:00:00 CET 2015, Event: ,Vissai Ninh Binh v TTBD Phu Dong, Favorite: ,Vissai Ninh Binh, 7200113   size:5.0,Price: ,2.0,TTBD Phu Dong, 10550501   size:2.57,Price: ,2.56,The Draw, 58805   size:7.05,Price: ,3.5,ok
1.122004695, Sport: ,Soccer, Time: ,Fri Nov 27 12:15:00 CET 2015, Time: ,Fri Nov 27 12:15:00 CET 2015, Event: ,Sektzia Nes Tziona v Maccabi Kabilio Jaffa, Favorite: ,Sektzia Nes Tziona, 5195928   size:4.18,Price: ,1.73,Maccabi Kabilio Jaffa, 6269792   size:2.73,Price: ,3.9,The Draw, 58805   size:2.27,Price: ,3.45,x
