1.119156303, Sport: ,Tennis, Time: ,Tue Jun 16 07:00:00 CEST 2015, Time: ,Tue Jun 16 07:00:00 CEST 2015, Event: ,Donskoy v Chu Wang, Favorite: ,Evgeny Donskoy, 3391304   size:110.16,Price: ,1.2,Chuhan Wang, 8326998   size:8.34,Price: ,5.5,ok
1.119167002, Sport: ,Tennis, Time: ,Tue Jun 16 14:00:00 CEST 2015, Time: ,Tue Jun 16 14:00:00 CEST 2015, Event: ,Dominguez Lino v Kiick, Favorite: ,Lourdes Dominguez Lino, 2256484   size:14.36,Price: ,1.55,Allie Kiick, 7137472   size:6.4,Price: ,2.48,ok
1.119167003, Sport: ,Tennis, Time: ,Tue Jun 16 10:00:00 CEST 2015, Time: ,Tue Jun 16 10:00:00 CEST 2015, Event: ,Molinero v Zacarias, Favorite: ,Florencia Molinero, 4946380   size:5.81,Price: ,1.65,Marcela Zacarias, 7083075   size:20.36,Price: ,2.36,x
1.119156291, Sport: ,Tennis, Time: ,Tue Jun 16 09:30:00 CEST 2015, Time: ,Tue Jun 16 09:30:00 CEST 2015, Event: ,Gabashvili v Nedunchezhiyan, Favorite: ,Teymuraz Gabashvili, 4877292   size:2978.76,Price: ,1.03,Jeevan Nedunchezhiyan, 8174316   size:3.67,Price: ,13.0,ok
1.119159540, Sport: ,Tennis, Time: ,Tue Jun 16 13:30:00 CEST 2015, Time: ,Tue Jun 16 13:30:00 CEST 2015, Event: ,M Krueger v Fratangelo, Favorite: ,Bjorn Fratangelo, 7593723   size:6.29,Price: ,1.36,Mitchell Krueger, 6603910   size:27.91,Price: ,3.15,ok
1.119159147, Sport: ,Tennis, Time: ,Tue Jun 16 18:00:00 CEST 2015, Time: ,Tue Jun 16 18:00:00 CEST 2015, Event: ,Begu v Hantuchova, Favorite: ,Irina-Camelia Begu, 7642289   size:52.5,Price: ,1.78,Daniela Hantuchova, 2251579   size:201.94,Price: ,2.26,x
1.119158212, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,Giraldo v Karlovic, Favorite: ,Ivo Karlovic, 2263570   size:24.02,Price: ,1.34,Santiago Giraldo, 2415499   size:40.98,Price: ,3.6,ok
1.119172155, Sport: ,Tennis, Time: ,Tue Jun 16 13:00:00 CEST 2015, Time: ,Tue Jun 16 13:00:00 CEST 2015, Event: ,Sasnovich v Friedsam, Favorite: ,Akiaksandra Sasnovich, 9614135   size:2.86,Price: ,1.31,Anna-Lena Friedsam, 7593369   size:29.06,Price: ,1.41,x
1.119158059, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,St Johnson v B Tomic, Favorite: ,Bernard Tomic, 3588868   size:40.58,Price: ,1.47,Steve Johnson, 4876706   size:14.71,Price: ,2.96,x
1.119156311, Sport: ,Tennis, Time: ,Tue Jun 16 08:45:00 CEST 2015, Time: ,Tue Jun 16 08:45:00 CEST 2015, Event: ,Karimov v Ti Chen, Favorite: ,Ti Chen, 2559490   size:3.54,Price: ,1.31,Djurabeck Karimov, 8599058   size:15.95,Price: ,3.65,ok
1.119156312, Sport: ,Tennis, Time: ,Tue Jun 16 13:00:00 CEST 2015, Time: ,Tue Jun 16 13:00:00 CEST 2015, Event: ,M Arevalo v Skugor, Favorite: ,Franko Skugor, 2862839   size:72.03,Price: ,1.63,Marcelo Arevalo, 7430966   size:19.22,Price: ,2.44,ok
1.119156313, Sport: ,Tennis, Time: ,Tue Jun 16 09:30:00 CEST 2015, Time: ,Tue Jun 16 09:30:00 CEST 2015, Event: ,Roelofse v Sultanov, Favorite: ,Ruan Roelofse, 7364224   size:58.79,Price: ,1.46,Khumoun Sultanov, 8520665   size:5.0,Price: ,2.92,ok
