1.120263981, Sport: ,Soccer, Time: ,Fri Aug 28 16:00:00 CEST 2015, Time: ,Fri Aug 28 16:00:00 CEST 2015, Event: ,AC Paradou U21 v JSM Bejaia U21, Favorite: ,AC Paradou U21, 10201404   size:8.96,Price: ,2.38,JSM Bejaia U21, 8036614   size:8.67,Price: ,2.46,The Draw, 58805   size:6.18,Price: ,3.45,
1.120231253, Sport: ,Ice Hockey, Time: ,Fri Aug 28 16:00:00 CEST 2015, Time: ,Fri Aug 28 16:00:00 CEST 2015, Event: ,Traktor v Yugra, Favorite: ,Traktor, 2595834   size:107.36,Price: ,1.77,Yugra, 4913649   size:61.0,Price: ,4.2,Tie, 60104   size:54.99,Price: ,4.5,
1.120265867, Sport: ,Soccer, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Zenit St Petersburg (Y) v Krylya Sovetov (Y), Favorite: ,Krylya Sovetov (Y), 9989505   size:135.7,Price: ,1.06,Zenit St Petersburg (Y), 6289889   size:5.0,Price: ,1.07,The Draw, 58805   size:6.59,Price: ,7.4,
1.120265591, Sport: ,Soccer, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,CNS Cetate Deva v ACSO Filiasi, Favorite: ,The Draw, 58805   size:135.24,Price: ,1.06,
1.120225834, Sport: ,Soccer, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Loko Vltavin v Pribram, Favorite: ,Pribram, 1533863   size:152.07,Price: ,1.26,The Draw, 58805   size:9.32,Price: ,5.2,Loko Vltavin, 5598523   size:31.23,Price: ,5.8,
1.120295907, Sport: ,Tennis, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Caruso v Volandri, Favorite: ,Filippo Volandri, 2256483   size:148.91,Price: ,1.48,Salvatore Caruso, 8257868   size:4.34,Price: ,2.78,
1.120265757, Sport: ,Soccer, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,CS Becicherecu Mic v CF Metalurgistul Cugir, Favorite: ,The Draw, 58805   size:135.24,Price: ,1.06,
1.120265646, Sport: ,Soccer, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Snagov v Metaloglobus Bucuresti, Favorite: ,The Draw, 58805   size:135.24,Price: ,1.06,
1.120265536, Sport: ,Soccer, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Viitorul Constanta II v Gloria Popesti-Leordeni, Favorite: ,The Draw, 58805   size:135.24,Price: ,1.06,
1.120296139, Sport: ,Tennis, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Ostapenko v Bellis, Favorite: ,Jelena Ostapenko, 8827537   size:78.26,Price: ,1.81,Catherine Bellis, 8792467   size:10.12,Price: ,2.16,
1.120224922, Sport: ,Soccer, Time: ,Fri Aug 28 17:00:00 CEST 2015, Time: ,Fri Aug 28 17:00:00 CEST 2015, Event: ,Velke Mezirici v FC Brno, Favorite: ,The Draw, 58805   size:136.49,Price: ,1.06,
1.120158781, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,Ilves Kissat v TPV, Favorite: ,TPV, 804682   size:47.75,Price: ,1.82,The Draw, 58805   size:2.55,Price: ,4.0,Ilves Kissat, 4674857   size:3.75,Price: ,4.3,
1.120158779, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,Atlantis v PK Keski-Uusimaa, Favorite: ,Atlantis, 174384   size:2.71,Price: ,2.14,PK Keski-Uusimaa, 2449039   size:8.19,Price: ,3.4,The Draw, 58805   size:2.71,Price: ,3.85,
