1.119497944, Sport: ,Mixed Martial Arts, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Lebout v Packalen, Favorite: ,Teemu Packalen, 9962844   size:2.9,Price: ,1.7,Mickael Lebout, 9382330   size:8.81,Price: ,2.06,x
1.119541374, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,KS Gwardia Koszalin v Blektini Stargard, Favorite: ,Blektini Stargard, 8767306   size:142.57,Price: ,1.06,The Draw, 58805   size:2.88,Price: ,1.25,ok
1.119434157, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Kalmar FF v Falkenbergs, Favorite: ,Kalmar FF, 130433   size:79.88,Price: ,1.64,The Draw, 58805   size:384.59,Price: ,4.1,Falkenbergs, 780883   size:65.02,Price: ,6.4,ok
1.119544888, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,Braga B v Famalicao, Favorite: ,Famalicao, 5875376   size:267.31,Price: ,1.01,The Draw, 58805   size:2.88,Price: ,1.25,x
1.119552131, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Khimik Svetlogorsk v FK Isloch Minsk, Favorite: ,FK Isloch Minsk, 7328081   size:5.16,Price: ,1.08,The Draw, 58805   size:12.9,Price: ,2.4,Khimik Svetlogorsk, 5796702   size:5.16,Price: ,2.52,ok
1.119549096, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Macclesfield v Rochdale, Favorite: ,Rochdale, 256383   size:214.94,Price: ,1.67,The Draw, 58805   size:61.28,Price: ,3.35,Macclesfield, 69817   size:50.52,Price: ,3.85,x
1.119429803, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,TSV St Johann v FC Kitzbuhel, Favorite: ,TSV St Johann, 3258140   size:2.86,Price: ,2.32,FC Kitzbuhel, 5678590   size:2.86,Price: ,2.78,The Draw, 58805   size:2.86,Price: ,3.55,x
1.119550059, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,SG Gangelt Hastenrath v Fortuna Sittard, Favorite: ,Fortuna Sittard, 49058   size:142.57,Price: ,1.06,The Draw, 58805   size:2.88,Price: ,1.25,ok
1.119433074, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Olimpik Donetsk v Chernomorets Odesa, Favorite: ,Olimpik Donetsk, 5851729   size:2.63,Price: ,2.18,Chernomorets Odesa, 7430526   size:2.86,Price: ,3.35,The Draw, 58805   size:2.86,Price: ,3.5,x
1.119548095, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Havant and W v Eastleigh, Favorite: ,Eastleigh, 1222691   size:138.47,Price: ,2.04,Havant and W, 5114005   size:78.26,Price: ,2.84,The Draw, 58805   size:66.98,Price: ,3.15,x
1.119428722, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,Thor v Throttur, Favorite: ,Throttur, 3968882   size:2.63,Price: ,2.24,Thor, 3965658   size:2.63,Price: ,2.98,The Draw, 58805   size:2.63,Price: ,3.6,x
1.119543771, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Accrington S v Burnley, Favorite: ,Burnley, 56299   size:5.91,Price: ,1.51,The Draw, 58805   size:54.33,Price: ,3.65,Accrington S, 498119   size:41.14,Price: ,4.5,x
1.119544982, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Brechin v Dundee, Favorite: ,Dundee, 13133   size:5.91,Price: ,1.42,The Draw, 58805   size:50.52,Price: ,3.85,Brechin, 238429   size:36.0,Price: ,5.2,x
1.119551384, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Welling Utd v Ebbsfleet Utd, Favorite: ,Welling Utd, 1222695   size:109.09,Price: ,2.32,Ebbsfleet Utd, 3018410   size:93.51,Price: ,2.54,The Draw, 58805   size:68.56,Price: ,3.1,x
1.119550716, Sport: ,Soccer, Time: ,Sat Jul 18 15:00:00 CEST 2015, Time: ,Sat Jul 18 15:00:00 CEST 2015, Event: ,Stalybridge v Altrincham, Favorite: ,Altrincham, 62505   size:142.57,Price: ,1.06,The Draw, 58805   size:2.88,Price: ,1.25,ok
1.119549847, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,R. Wallonia Walhain v Cercle Brugge, Favorite: ,Cercle Brugge, 259394   size:288.03,Price: ,1.47,The Draw, 58805   size:50.52,Price: ,3.85,R. Wallonia Walhain, 7414386   size:38.91,Price: ,4.7,ok
