1.121945487, Sport: ,Soccer, Time: ,Sun Nov 22 10:00:00 CET 2015, Time: ,Sun Nov 22 10:00:00 CET 2015, Event: ,UTA Arad v Uni Cluj, Favorite: ,UTA Arad, 2311174   size:7.41,Price: ,1.68,Uni Cluj, 2491792   size:5.0,Price: ,4.5,The Draw, 58805   size:6.3,Price: ,3.65,ok
1.121833621, Sport: ,Cricket, Time: ,Sun Nov 22 11:00:00 CET 2015, Time: ,Sun Nov 22 11:00:00 CET 2015, Event: ,Cobras v Knights, Favorite: ,Cobras, 8819976   size:36.28,Price: ,1.58,Knights, 5045297   size:53.49,Price: ,2.54,ok
1.121812768, Sport: ,Soccer, Time: ,Sun Nov 22 18:30:00 CET 2015, Time: ,Sun Nov 22 18:30:00 CET 2015, Event: ,Panthrakikos v AEK, Favorite: ,AEK, 214309   size:242.09,Price: ,1.6,Panthrakikos, 2053859   size:47.19,Price: ,7.0,The Draw, 58805   size:4.18,Price: ,4.0,ok
1.121811437, Sport: ,Soccer, Time: ,Sun Nov 22 12:30:00 CET 2015, Time: ,Sun Nov 22 12:30:00 CET 2015, Event: ,Heracles v Excelsior, Favorite: ,Heracles, 419132   size:67.4,Price: ,1.72,Excelsior, 67164   size:3.39,Price: ,5.1,The Draw, 58805   size:112.04,Price: ,4.3,x
1.121738354, Sport: ,Soccer, Time: ,Sun Nov 22 15:00:00 CET 2015, Time: ,Sun Nov 22 15:00:00 CET 2015, Event: ,Genoa v Sassuolo, Favorite: ,Genoa, 60310   size:216.17,Price: ,2.1,Sassuolo, 2013140   size:1038.68,Price: ,4.1,The Draw, 58805   size:656.94,Price: ,3.5,ok
1.121866309, Sport: ,Soccer, Time: ,Sun Nov 22 12:15:00 CET 2015, Time: ,Sun Nov 22 12:15:00 CET 2015, Event: ,Talavera CF v CD Mensajero, Favorite: ,Talavera CF, 7309192   size:14.26,Price: ,1.67,CD Mensajero, 8532028   size:133.45,Price: ,6.0,The Draw, 58805   size:7.56,Price: ,3.65,ok
1.121947595, Sport: ,Soccer, Time: ,Sun Nov 22 11:30:00 CET 2015, Time: ,Sun Nov 22 11:30:00 CET 2015, Event: ,Espinardo Atletico v Club Atletico Pulpileno, Favorite: ,Espinardo Atletico, 10215484   size:5.0,Price: ,1.03,Club Atletico Pulpileno, 8041147   size:5.37,Price: ,2.12,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121948201, Sport: ,Soccer, Time: ,Sun Nov 22 17:30:00 CET 2015, Time: ,Sun Nov 22 17:30:00 CET 2015, Event: ,SD Balmaseda FC v Pasala Kirol Elkartea, Favorite: ,SD Balmaseda FC, 6283876   size:5.63,Price: ,1.06,Pasala Kirol Elkartea, 9339252   size:251.54,Price: ,1.13,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121949412, Sport: ,Soccer, Time: ,Sun Nov 22 16:00:00 CET 2015, Time: ,Sun Nov 22 16:00:00 CET 2015, Event: ,CAP Ciudad Murcia v AD Caravaca Vera Cruz, Favorite: ,CAP Ciudad Murcia, 10243065   size:5.63,Price: ,1.06,AD Caravaca Vera Cruz, 8811932   size:251.54,Price: ,1.13,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121743704, Sport: ,American Football, Time: ,Sun Nov 22 22:05:00 CET 2015, Time: ,Sun Nov 22 22:05:00 CET 2015, Event: ,Kansas City @ San Diego, Favorite: ,Kansas City Chiefs, 50214   size:299.53,Price: ,1.67,San Diego Chargers, 50215   size:356.33,Price: ,2.4,ok
1.121950537, Sport: ,Soccer, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,Shakhtar U19 v FC Oleksandria U19, Favorite: ,Shakhtar U19, 7653217   size:5.0,Price: ,1.03,FC Oleksandria U19, 10096646   size:155.71,Price: ,1.21,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121789669, Sport: ,Soccer, Time: ,Sun Nov 22 20:00:00 CET 2015, Time: ,Sun Nov 22 20:00:00 CET 2015, Event: ,Joinville v Vasco da Gama, Favorite: ,Joinville, 5259406   size:6.0,Price: ,2.74,Vasco da Gama, 784535   size:12.02,Price: ,2.9,The Draw, 58805   size:154.43,Price: ,3.35,x
