1.122722503, Sport: ,Soccer, Time: ,Sun Jan 24 15:45:00 CET 2016, Time: ,Sun Jan 24 15:45:00 CET 2016, Event: ,Levadia Tallinn II v Tartu Santos, Favorite: ,Levadia Tallinn II, 5412337   size:13.88,Price: ,1.04,Tartu Santos, 8449352   size:13.88,Price: ,1.04,The Draw, 58805   size:13.88,Price: ,1.04
1.122724265, Sport: ,Soccer, Time: ,Sun Jan 24 16:00:00 CET 2016, Time: ,Sun Jan 24 16:00:00 CET 2016, Event: ,Karlsruhe v Freiburg, Favorite: ,Karlsruhe, 113191   size:27.76,Price: ,1.02,Freiburg, 44520   size:27.76,Price: ,1.02,The Draw, 58805   size:27.76,Price: ,1.02
1.122725573, Sport: ,Soccer, Time: ,Sun Jan 24 16:00:00 CET 2016, Time: ,Sun Jan 24 16:00:00 CET 2016, Event: ,CD Erriberri v CD Baztan, Favorite: ,The Draw, 58805   size:55.53,Price: ,1.01,CD Erriberri, 8236344   size:27.76,Price: ,1.02,CD Baztan, 10366655   size:27.76,Price: ,1.02
1.122709312, Sport: ,Basketball, Time: ,Sun Jan 24 16:00:00 CET 2016, Time: ,Sun Jan 24 16:00:00 CET 2016, Event: ,Surrey Scorchers v Worcester Wolves, Favorite: ,Surrey Scorchers, 10324022   size:6.34,Price: ,1.03,Worcester Wolves, 2939196   size:6.34,Price: ,1.03
1.122725565, Sport: ,Soccer, Time: ,Sun Jan 24 16:00:00 CET 2016, Time: ,Sun Jan 24 16:00:00 CET 2016, Event: ,SD Borja v CD Illueca, Favorite: ,The Draw, 58805   size:55.53,Price: ,1.01,SD Borja, 8764588   size:27.76,Price: ,1.02,CD Illueca, 8923240   size:27.76,Price: ,1.02
1.122725591, Sport: ,Soccer, Time: ,Sun Jan 24 16:00:00 CET 2016, Time: ,Sun Jan 24 16:00:00 CET 2016, Event: ,AD Almudevar v UD Fraga, Favorite: ,The Draw, 58805   size:55.53,Price: ,1.01,AD Almudevar, 8135176   size:27.76,Price: ,1.02,UD Fraga, 10381911   size:27.76,Price: ,1.02
1.122725587, Sport: ,Soccer, Time: ,Sun Jan 24 16:00:00 CET 2016, Time: ,Sun Jan 24 16:00:00 CET 2016, Event: ,CAP Ciudad Murcia v Pinatar CF, Favorite: ,CAP Ciudad Murcia, 10243065   size:66.02,Price: ,1.49,Pinatar CF, 8873742   size:15.0,Price: ,5.4,The Draw, 58805   size:24.0,Price: ,3.75
1.122724815, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,CD Bunol v Recambios Colon UD, Favorite: ,CD Bunol, 10185143   size:66.02,Price: ,1.74,Recambios Colon UD, 10263174   size:21.28,Price: ,4.1,The Draw, 58805   size:30.7,Price: ,3.15
1.122725577, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,CA Rivers Ebro v CD Tedeon, Favorite: ,The Draw, 58805   size:55.53,Price: ,1.01,CA Rivers Ebro, 9301047   size:27.76,Price: ,1.02,CD Tedeon, 8994265   size:27.76,Price: ,1.02
1.122724819, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,CD Choco v Ordenes CF, Favorite: ,CD Choco, 8041120   size:66.02,Price: ,1.52,Ordenes CF, 8811934   size:15.0,Price: ,5.4,The Draw, 58805   size:26.93,Price: ,3.45
1.122725571, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,CD Coria v Sanvicenteno, Favorite: ,The Draw, 58805   size:55.53,Price: ,1.01,CD Coria, 10621723   size:27.76,Price: ,1.02,Sanvicenteno, 10621829   size:27.76,Price: ,1.02
1.122724817, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,Club Atletico de Pinto v Rayo Vallecano B, Favorite: ,Club Atletico de Pinto, 7636389   size:58.94,Price: ,2.12,Rayo Vallecano B, 4943236   size:33.34,Price: ,2.98,The Draw, 58805   size:32.2,Price: ,3.05
