1.120851011, Sport: ,Soccer, Time: ,Wed Sep 30 00:00:00 CEST 2015, Time: ,Wed Sep 30 00:00:00 CEST 2015, Event: ,Sportivo Luqueno v Tolima, Favorite: ,Sportivo Luqueno, 2844791   size:5.0,Price: ,2.48,Tolima, 2277370   size:17.68,Price: ,3.25,The Draw, 58805   size:26.08,Price: ,3.3,ok
1.120851254, Sport: ,Soccer, Time: ,Wed Sep 30 02:00:00 CEST 2015, Time: ,Wed Sep 30 02:00:00 CEST 2015, Event: ,Ceara v Luverdense, Favorite: ,Ceara, 4016599   size:33.39,Price: ,1.67,Luverdense, 4525645   size:50.58,Price: ,6.2,The Draw, 58805   size:347.34,Price: ,3.95,x
1.120975227, Sport: ,Tennis, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,Kerber v Giorgi, Favorite: ,Angelique Kerber, 2411840   size:61.66,Price: ,1.27,Camila Giorgi, 5619012   size:10.14,Price: ,4.3,ok
1.120824014, Sport: ,Basketball, Time: ,Tue Sep 29 21:45:00 CEST 2015, Time: ,Tue Sep 29 21:45:00 CEST 2015, Event: ,Gabon (W) v Mozambique (W), Favorite: ,Mozambique (W), 6469559   size:12.6,Price: ,1.69,Gabon (W), 10305560   size:9.86,Price: ,2.16,ok
1.120939517, Sport: ,Tennis, Time: ,Wed Sep 30 10:45:00 CEST 2015, Time: ,Wed Sep 30 10:45:00 CEST 2015, Event: ,Daniell/Demoliner v Huey/Kontinen, Favorite: ,Huey/Kontinen, 10300311   size:3.15,Price: ,1.56,Daniell/Demoliner, 9398763   size:2.05,Price: ,2.44,ok
1.120977881, Sport: ,Tennis, Time: ,Wed Sep 30 11:00:00 CEST 2015, Time: ,Wed Sep 30 11:00:00 CEST 2015, Event: ,Karatsev v Molchanov, Favorite: ,Aslan Karatsev, 7659748   size:39.44,Price: ,1.08,Denys Molchanov, 3474265   size:5.77,Price: ,1.14,x
1.120851655, Sport: ,Soccer, Time: ,Wed Sep 30 03:30:00 CEST 2015, Time: ,Wed Sep 30 03:30:00 CEST 2015, Event: ,Guadalajara v Monterrey, Favorite: ,Guadalajara, 230909   size:16.7,Price: ,2.74,Monterrey, 328949   size:3.0,Price: ,2.8,The Draw, 58805   size:146.54,Price: ,3.45,ok
1.120969515, Sport: ,Tennis, Time: ,Wed Sep 30 10:00:00 CEST 2015, Time: ,Wed Sep 30 10:00:00 CEST 2015, Event: ,Setkic v Kravchuk, Favorite: ,Konstantin Kravchuk, 5011822   size:4.47,Price: ,1.41,Aldin Setkic, 7366936   size:5.0,Price: ,2.94,ok
1.120851581, Sport: ,Soccer, Time: ,Wed Sep 30 03:06:00 CEST 2015, Time: ,Wed Sep 30 03:06:00 CEST 2015, Event: ,Leon v CF America, Favorite: ,CF America, 328952   size:41.46,Price: ,2.46,Leon, 4468457   size:2.67,Price: ,2.9,The Draw, 58805   size:118.73,Price: ,3.65,x
1.120850493, Sport: ,Soccer, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,Guangzhou FC v G-Osaka, Favorite: ,Guangzhou FC, 5723376   size:22.25,Price: ,1.67,G-Osaka, 441083   size:5.0,Price: ,5.6,The Draw, 58805   size:7.0,Price: ,4.1,ok
1.120973577, Sport: ,Tennis, Time: ,Wed Sep 30 05:30:00 CEST 2015, Time: ,Wed Sep 30 05:30:00 CEST 2015, Event: ,Yan Wang v K Chang, Favorite: ,Kai-Chen Chang, 8887166   size:2.55,Price: ,1.12,Yan Wang, 8938265   size:6.84,Price: ,6.2,ok
1.120973578, Sport: ,Tennis, Time: ,Wed Sep 30 05:30:00 CEST 2015, Time: ,Wed Sep 30 05:30:00 CEST 2015, Event: ,Badosa Gibert v Jin Lu, Favorite: ,Paula Badosa Gibert, 9216404   size:3.3,Price: ,1.51,Jing-Jing Lu, 9422140   size:6.29,Price: ,2.88,x
1.120973579, Sport: ,Tennis, Time: ,Wed Sep 30 08:00:00 CEST 2015, Time: ,Wed Sep 30 08:00:00 CEST 2015, Event: ,Y  Lee v Morgina, Favorite: ,Ya-Hsuan Lee, 8839147   size:2.55,Price: ,1.17,Anna Morgina, 9028616   size:25.87,Price: ,6.2,ok
1.120977257, Sport: ,Tennis, Time: ,Wed Sep 30 13:45:00 CEST 2015, Time: ,Wed Sep 30 13:45:00 CEST 2015, Event: ,Robredo v Moriya, Favorite: ,Tommy Robredo, 2257298   size:2.76,Price: ,1.09,Hiroki Moriya, 5858055   size:7.48,Price: ,10.0,ok
1.120972086, Sport: ,Tennis, Time: ,Wed Sep 30 00:00:00 CEST 2015, Time: ,Wed Sep 30 00:00:00 CEST 2015, Event: ,Sandgren/Smyczek v Ball/Reid, Favorite: ,Sandgren/Smyczek, 10344709   size:4.14,Price: ,1.06,Ball/Reid, 8892655   size:4.14,Price: ,1.06,x
1.120978184, Sport: ,Tennis, Time: ,Wed Sep 30 04:00:00 CEST 2015, Time: ,Wed Sep 30 04:00:00 CEST 2015, Event: ,Kuwata v Y Ye, Favorite: ,Hiroko Kuwata, 8732124   size:5.17,Price: ,1.2,Qiu Yu Ye, 8943897   size:20.76,Price: ,4.8,ok
